Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2014, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,,
"Oct. 1, 2015",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
New Codman Square Apts,Yes,Multifamily Housing,1749 Dorchester Avenue,02124," 77,355 ",79.2,69,,Multifamily Housing,1930,376.3,4.9," 6,123,243 ",19%,81%,0%,66.15,,,,160133100016013320001700947000170163400017020800001702103000170250700017025080001704730000
Noral Housing: Noral - Algonquin / Bradlee,Yes,Multifamily Housing,12 Algonquin Street,02124," 63,942 ",30.6,99,,Multifamily Housing,1970,163.7,2.6," 1,956,552 ",70%,30%,0%,59.11,,,,1700075000
SHAW PA,Municipal,K-12 School,429 Norfolk St.,02124," 32,706 ",40.2,99,,K-12 School,1919,81.8, 2.5 ," 1,314,425 ",21%,79%,0%,0.50,,,,
"Standish Village TRS, LLC",Yes,Senior Care Community,1190 Adams St,02124," 76,430 ",84.4,Not Available,,Senior Care Community,1880,369.2,4.8," 6,447,030 ",10%,90%,0%,62.20,,,,1703663030
THOMPSON,Municipal,K-12 School,100 Maxwell St.,02124," 75,508 ",53.1,94,,K-12 School,1892,246.3, 3.3 ," 4,007,627 ",19%,81%,0%,0.65,,,,
William J. Devine Golf Course,Municipal,Other - Recreation,1 Circuit Drive,02124," 14,000 ",67,Not applicable to this property type,,Other - Recreation,2000,69.6, 5.0 ," 938,124 ",0%,0%,0%,,,,,
WILSON,Municipal,K-12 School,18 Croftland Ave,02124," 97,130 ",73.9,82,,K-12 School,1932,421.5, 4.3 ," 7,180,120 ",13%,87%,0%,0.48,,,,
#2679 South Bay/Boston,Yes,Retail Store,5 Alllstate Road,02125," 132,000 ",63.8,77,,"Parking, Retail Store",1998,676.9,5.1," 8,418,749 ",63%,37%,0%,4.88,,,,0703501080
045 - Holiday Inn Express Dorchester,Yes,Hotel,69 R. Boston Street,02125," 58,051 ",150.7,13,,Hotel,2010,704.6,12.1," 8,746,315 ",63%,37%,0%,176.34,,,,0703436000
65 East Cottage St (closed 9/2014),Municipal,Non-Refrigerated Warehouse,65 East Cottage St,02125," 120,238 ",Not Available,Not Available,,Non-Refrigerated Warehouse,2000,Not Available, Not Available , Not Available ,0%,0%,0%,,,,,
Bayside Merchandise Mart,Yes,Office,150 Mt. Vernon Street,02125," 159,732 ",83.6,32,,"College/University, Office, Parking",1984,1292.2,8.1," 13,356,267 ",100%,0%,0%,,,,,1303448200
BOSTON SOUTH BAY (1898),Yes,Retail Store,7 ALLSTATE RD,02125," 147,225 ",79.4,81,2012,"Parking, Retail Store",2004,983.8,6.7," 11,685,027 ",71%,29%,0%,11.36,,,,0703501010
Campbell Resource Center,Municipal,K-12 School,1216 Dorchester Ave.,02125," 97,349 ",68,39,,K-12 School,2000,509.9, 5.2 ," 6,621,337 ",55%,45%,0%,0.41,,,,
Catherine Clark: Catherine Clark,Yes,Multifamily Housing,915 Dorchester Avenue,02125," 74,185 ",90,38,,Multifamily Housing,1977,445,6," 6,678,716 ",31%,69%,0%,50.03,,Basement square footage estimated ,,1301910000
Central Kitchen ELC,Municipal,K-12 School,370 Columbia Road,02125," 17,250 ",Not Available,Not Available,,K-12 School,1970,0, -   , Not Available ,0%,0%,0%,,,,,
CLAP,Municipal,K-12 School,35 Harvest St.,02125," 29,448 ",46.2,99,,K-12 School,1896,83.4, 2.8 ," 1,361,380 ",19%,81%,0%,0.79,,,,
Columbia Road Apartments,Yes,Multifamily Housing,414 Columbia Road,02125," 139,105 ",90.5,13,,Multifamily Housing,1920,823.7,5.9," 12,593,393 ",28%,72%,0%,51.57,,"According to Boston's tax assessor database, parcel id 1502435000 has a gross area of 26,444 square feet. This building also has less than 50 units. It seems that this development was erroneously required to report and that the requirement to report was based on a roll-up of unit counts across different apartment complexes owned by the same owner. Therefore, the data reported is based on the energy and water data of 10 buildings in the Columbia Road development. ",,1502435000
Columbia West: 392 Columbia Rd,Yes,Multifamily Housing,392 Columbia Rd,02125," 41,632 ",75.6,58,,Multifamily Housing,2005,213.2,5.1," 3,146,714 ",34%,66%,0%,45.33,,,,1502411010
DEVER/MCCORMACK,Municipal,K-12 School,325 Mt. Vernon St.,02125," 113,400 ",92.7,53,,K-12 School,1957,636.2, 5.6 ," 10,517,326 ",17%,83%,0%,1.49,,,,
"Diamond 98, LLC",Yes,Manufacturing/Industrial Plant,99 East Cottage Street,02125," 56,250 ",55.4,Not applicable to this property type,,Manufacturing/Industrial,1945,199.2,3.5," 3,119,034 ",25%,75%,0%,3.24,,,,03646-000
District 3 Yard,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",170 Hancock St,02125," 6,806 ",316.8,Not applicable to this property type,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000,127.5, 18.7 ," 2,155,882 ",14%,86%,0%,5.10,,,,
Doubletree Club Hotel Boston Bayside,Yes,Hotel,240 Mt. Vernon Street,02125," 91,000 ",78.1,72,,Hotel,1999,612,6.7," 7,109,863 ",76%,0%,0%,61.89,,no contextual info will be disclosed in the first year.,,03448-000
Dudley St,Yes,Non-Refrigerated Warehouse,55 Humphreys St,02125," 105,000 ",0.8,100,,Non-Refrigerated Warehouse,1950,7.8,0.1," 80,257 ",100%,0%,0%,0.75,," 
 ",,0703676000
Dudley Terrace,Yes,Multifamily Housing,590 Dudley Street,02125," 39,528 ",82.1,97,,Multifamily Housing,1000,186.3,4.7," 3,245,199 ",10%,90%,0%,15.51,,,,0703926000
Engine 21,Municipal,Fire Station,641 Columbia Rd,02125," 12,000 ",70.7,Not applicable to this property type,,Fire Station,2000,51, 4.2 ," 848,985 ",16%,84%,0%,2.24,,,,
EVERETT,Municipal,K-12 School,71 Pleasant St.,02125," 31,410 ",62.5,93,,K-12 School,1909,119.4, 3.8 ," 1,963,436 ",18%,82%,0%,1.30,,,,
Harbor Point Apartments,Yes,Multifamily Housing,400 Mt Vernon,02125," 2,180,289 ",11.8,100,,"Multifamily Housing, Parking, Retail Store",1989,2138.4,1," 25,607,276 ",70%,30%,0%,,,,,1303445000
NSTAR Mass Ave Building A,Yes,Office,1165 Massachusetts Ave,02125," 115,803 ",114.7,98,,"Office, Parking",1981,705.5,6.1," 13,283,206 ",0%,100%,0%,,,Information added for submittal as per Boston Energy Ordinance for Building A (work center) only.,,0703584000
Olmsted Green East-Phase 2,Yes,Multifamily Housing,11 Sandpiper Lane,02125," 45,970 ",79,83,,"Multifamily Housing, Parking",2010,215.6,4.7," 3,631,470 ",14%,86%,0%,58.66,,,,1405196960140519693014051969501405196900
Police Garage,Municipal,Police Station,160 HANCOCK ST,02125," 11,000 ",160.8,Not applicable to this property type,,Police Station,2007,106.3, 9.7 ," 1,769,058 ",16%,84%,0%,,,,,
RUSSELL,Municipal,K-12 School,750 Columbia Rd.,02125," 53,585 ",75.7,84,,K-12 School,1903,239, 4.5 ," 4,054,820 ",13%,87%,0%,0.92,,,,
Savin Hill Apartments,Yes,Not Available,130 Auckland Street,02125, Not Available ,52.9,Not Available,,Multifamily Housing,1982,482.3,3.4," 7,480,635 ",26%,74%,0%,35.00,,,,1503123000
South Bay Center: South Bay Center,Yes,Retail Store,8 Allstate Road,02125," 572,434 ",2.9,Not Available,,"Parking, Retail Store",2005,58.3,0.1," 1,673,826 ",94%,6%,0%,26.04,300000.8,"
Number of buildings: 3
Solar panels generate approx. 300MWh per year",,Not Available
SPIRE 65 BAY ST LLC,Yes,Manufacturing/Industrial Plant,65 BAY STREET,02125," 75,000 ",130.5,Not applicable to this property type,,Manufacturing/Industrial,2001,916.5,12.2," 9,785,826 ",93%,7%,0%,565.23,,,,1503130010
Strand Theatre,Municipal,Other,543 Columbia Rd,02125," 18,000 ",259.1,Not applicable to this property type,,Other,2000,319.1, 17.7 ," 4,663,686 ",35%,65%,0%,0.54,,,,
Uphams Corner Health Center,Municipal,Urgent Care/Clinic/Other Outpatient,500 Columbia Rd,02125," 13,600 ",Not Available,Not applicable to this property type,,Urgent Care/Clinic/Other Outpatient,2000,0, -   , Not Available ,0%,0%,0%,1.39,,,,
WINTHROP,Municipal,K-12 School,35 Brookford St.,02125," 43,456 ",62.9,91,,K-12 School,1911,167.3, 3.9 ," 2,733,996 ",19%,81%,0%,2.02,,,,
27016-Mattapan(Hydepk)/River St,Yes,Non-Refrigerated Warehouse,800 River Street,02126," 50,700 ",21.5,90,,Non-Refrigerated Warehouse,2000,73.5,1.4," 1,088,110 ",33%,67%,0%,0.51,,,,1804365000
820 Cummins Hwy,Municipal,Other,820 Cummins Hwy,02126," 49,458 ",Not Available,Not applicable to this property type,,Other,2000,0, -   , Not Available ,0%,0%,0%,0.00,,,,
Adams Court-A,Yes,Multifamily Housing,415 River Street,02126," 48,580 ",56.4,88,,"Multifamily Housing, Parking",1965,174.6,3.6," 2,739,324 ",24%,76%,0%,62.54,,,,1801010000 1801012000
CHITTICK,Municipal,K-12 School,154 Ruskindale Rd.,02126," 48,697 ",48.4,98,,K-12 School,1931,143.1, 2.9 ," 2,358,957 ",17%,83%,0%,1.00,,,,
Economy Plumbing && Heating Supply Co,Yes,Distribution Center,875 Morton Street,02126," 65,000 ",Not Available,Not Available,,Distribution Center,2007,0,0, Not Available ,0%,0%,0%,2.39,,Plumbing & Heating Supply Company - Primarily used as a Warehouse storage and distribution with roughly only 10% used as offices. ,,4051719
EEC MATTAPAN,Municipal,K-12 School,108 Babson St.,02126," 36,820 ",46.2,85,,K-12 School,1998,132.4, 3.6 ," 1,702,838 ",56%,44%,0%,3.00,,,,
Fairlawn Apartments,Yes,Multifamily Housing,15 Bismarck Street,02126," 287,748 ",78.4,94,,"Multifamily Housing, Parking",1968,1698.1,5.9," 22,549,895 ",5%,0%,0%,54.76,,"This property includes 347 apartments with 12 buildings & 1 office.
15 Bismarck St.
2 Bismarck St.
4 Bismarck St.
6 Bismarck St.
785 Cummins Hwhy
795 Cummins Hwhy
20 Fairlawn Ave.
30-32 Fairlawn Ave
40 Fairlawn Ave
50 Fairlawn Ave
60 - 62 Fairlawn Ave
70 Fairlawn Ave
80 Fairlawn Ave",,1801980000
Gallivan Community Center,Municipal,Other - Recreation,61 Woodruff Way,02126," 10,400 ",89.4,Not applicable to this property type,,Other - Recreation,2000,60.8, 5.8 ," 929,542 ",28%,72%,0%,1.58,,,,
Lewenberg,Municipal,K-12 School,20 Outlook Rd.,02126," 120,944 ",58.6,87,,K-12 School,1930,441.6, 3.7 ," 7,091,001 ",21%,79%,0%,0.74,,,,
MATTAHUNT,Municipal,K-12 School,100 Hebron St.,02126," 171,035 ",30,100,,K-12 School,1977,352.7, 2.1 ," 5,138,431 ",36%,64%,0%,0.50,,,,
Mattapan Branch,Municipal,Library,1350 Blue Hill Ave,02126," 21,000 ",180.6,Not applicable to this property type,,Library,2000,247.8, 11.8 ," 3,792,806 ",28%,72%,0%,0.63,,,,
Mount Hope Cemetery Administration Building,Municipal,Office,355 Walk Hill St,02126," 2,400 ",156.7,Not Available,,Office,2000,29, 12.1 ," 376,167 ",12%,0%,0%,,,,,
Mount Hope Cemetery Maintenance Building,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",355 Walk Hill St,02126," 6,168 ",79.2,Not applicable to this property type,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000,37.4, 6.1 ," 488,231 ",10%,0%,0%,,,,,
Olmsted Green Phase 3,Yes,Multifamily Housing,39 Sandpiper Lane,02126," 49,627 ",46,100,,"Multifamily Housing, Parking",2012,137.6,2.8," 2,285,029 ",16%,84%,0%,41.26,,,,1405196980
Schoolhouse at Lower Mills,Yes,Multifamily Housing,40 River Street,02126," 62,136 ",10.2,Not Available,,"Multifamily Housing, Parking",2008,52.2,1," 539,233 ",100%,0%,0%,49.15,,Reporting was complete by both management utility logs and utility provider  ,,Not Available
Stress Unit,Municipal,Police Station,249 River St,02126," 3,115 ",82.9,Not applicable to this property type,,Police Station,2000,16.2, 5.2 ," 258,150 ",22%,78%,0%,,,,,
TAYLOR,Municipal,K-12 School,1060 Morton St.,02126," 51,389 ",52.2,96,,K-12 School,1931,162.4, 3.2 ," 2,681,272 ",17%,83%,0%,1.66,,,,
Wood Mullen Shelter,Municipal,Residence Hall/Dormitory,784 Massachusetts Ave,02126, 100 ,Not Available,Not Available,,Residence Hall/Dormitory,2000,0, -   , Not Available ,0%,0%,0%,5955.00,,,,
Worcester City Campus Corp. - MassBiologics,Yes,Manufacturing/Industrial Plant,460 Walk Hill Street,02126," 155,000 ",611.9,Not applicable to this property type,,"Manufacturing/Industrial, Parking",2004,6502.8,42," 94,841,051 ",35%,65%,0%,87.08,,,,1405198150
28 Damrell,Yes,Office,28 Damrell Street,02127," 86,372 ",47.7,93,,"Manufacturing/Industrial, Office, Parking, Restaurant",1848,297,3.4," 4,118,514 ",44%,56%,0%,5.50,,"There was roughly 16,000 sq ft. vacant during this period.",,0700254000
50 West Broadway,Yes,Multifamily Housing,50 West Broadway,02127," 250,755 ",39.3,97,,"Multifamily Housing, Parking",2008,585,2.9," 7,898,243 ",48%,52%,0%,,,,,0600022010
Alger Street Realty LLC,Yes,Not Available,4 Alger Street,02127, Not Available ,Not Available,Not Available,,Not Available,1947,625.1,Not Available," 8,315,434 ",51%,49%,0%,,,,,0700027000
Carson Tower,Yes,Multifamily Housing,1410 Columbia Road,02127," 116,876 ",166.8,Not Available,,Multifamily Housing,1973,1035.2,8.9," 19,489,841 ",0%,100%,0%,,,,,Not Available
Comcast Building,Yes,Non-Refrigerated Warehouse,426 East First Street,02127," 80,000 ",68.5,Not Available,,"Non-Refrigerated Warehouse, Office, Parking",1930,408.8,5.1," 5,482,553 ",49%,51%,0%,2.31,,Comcast Warehouse building has substantial accessory office use to run operations.  Building #2 is 100% office and occupied by other tenants.  ,,0602818000
CONDON,Municipal,K-12 School,220 D St.,02127," 140,426 ",145,21,,K-12 School,1975,1178.9, 8.4 ," 20,367,493 ",11%,89%,0%,3.67,,,,
Curley Community Center,Municipal,Other - Recreation,1163 Columbia Rd,02127," 47,520 ",204.7,Not applicable to this property type,,Other - Recreation,2000,601.9, 12.7 ," 9,725,486 ",20%,80%,0%,7.47,,,,
Eleven West,Yes,Not Available,11 West Broadway,02127, Not Available ,14.8,Not Available,,"Multifamily Housing, Other - Restaurant/Bar",2013,105.9,1," 1,600,288 ",30%,70%,0%,22.34,,The property was still under a lease up period for the first half of 2014 with occupancy being at 50-60%.  By end of year property was at approximately 90% occupancy.,,0600055010 060006100
Engine 02,Municipal,Fire Station,700 East Fourth St,02127," 14,040 ",101.3,Not applicable to this property type,,Fire Station,2000,90.2, 6.4 ," 1,422,625 ",24%,76%,0%,2.76,,,,
Engine 39,Municipal,Fire Station,272 D Street,02127," 15,640 ",96.9,Not applicable to this property type,,Fire Station,2000,99.8, 6.4 ," 1,515,776 ",29%,71%,0%,2.96,,,,
Exelon New Boston Station,Yes,Energy/Power Station,776 Summer Street,02127," 261,600 ",2,Not applicable to this property type,,"Energy/Power Station, Parking",1898,49.5,0.2," 511,294 ",100%,0%,0%,,,"Parking square footage as reported only includes designated parking areas.   ""Informal"" parking may also occur elsewhere within the paved lot.",,0603406000
GAVIN,Municipal,K-12 School,215 Dorchester,02127," 108,387 ",43.5,96,,K-12 School,1936,298.5, 2.8 ," 4,712,410 ",23%,77%,0%,1.42,,,,
Harbor Patrol,Municipal,Police Station,Drydock  /  Summer St,02127," 1,000 ",421.7,Not applicable to this property type,,Police Station,2000,40.8, 40.8 ," 421,706 ",100%,0%,0%,,,,,
Marian Manor Nursing Home,Yes,Senior Care Community,130 Dorchester Street,02127," 201,858 ",137.3,21,,Senior Care Community,1964,1754.4,8.7," 27,710,323 ",23%,77%,0%,,,,,Not Available
Opioid Treatment Services,Municipal,Urgent Care/Clinic/Other Outpatient,300 Frontage Road,02127, 100 ,Not Available,Not applicable to this property type,,Urgent Care/Clinic/Other Outpatient,2000,0, -   , Not Available ,0%,0%,0%,85.00,,,,
PERKINS,Municipal,K-12 School,50 Rev. Burke St.,02127," 28,407 ",55.3,95,,K-12 School,1926,98.2, 3.5 ," 1,571,357 ",22%,78%,0%,0.58,,,,
PERRY,Municipal,K-12 School,745 E. Seventh St.,02127," 38,774 ",58.9,95,,K-12 School,1904,136.8, 3.5 ," 2,282,877 ",16%,84%,0%,0.82,,,,
South Boston Branch,Municipal,Library,646 East Broadway,02127," 10,800 ",68.8,Not applicable to this property type,,Library,2000,51.2, 4.7 ," 743,285 ",36%,64%,0%,1.50,,,,
South Boston Elderly,Yes,Multifamily Housing,120 H Street,02127," 25,500 ",1199.3,1,,Multifamily Housing,1985,1640.2,64.3," 30,581,178 ",1%,99%,0%,72.59,,,,0602147000
SOUTH BOSTON HS,Municipal,K-12 School,95 G St.,02127," 160,270 ",84.7,63,,K-12 School,1901,801.9, 5.0 ," 13,580,982 ",14%,86%,0%,1.38,,,,
South Boston Non-Profit Housing a.k.a Castle Cover Co-op,Yes,Multifamily Housing,225 West Second Street,02127," 58,304 ",69.5,70,,Multifamily Housing,1997,265.5,4.6," 4,051,578 ",28%,72%,0%,,,,,0601507001
Station 06 (inactive),Municipal,Police Station,273 D St,02127," 18,084 ",0.1,Not applicable to this property type,,Police Station,2000,0.1, -   ," 1,266 ",100%,0%,0%,,,,,
The Gillette Company,Yes,Manufacturing/Industrial Plant,One Gillette Park,02127," 1,526,083 ",684.5,Not applicable to this property type,,Manufacturing/Industrial,1905,55700.1,36.5," 1,044,563,857 ",0%,100%,0%,23.42,,"11/10/2014: corrected site information to identify 14 buildings with total area equal to 1,527,083 square feet and oldest built in 1905.",,0601169000
Transorg LP c/o KeyPoint Partners LLC,Yes,Other,7 Elkins Street,02127," 60,000 ",117.1,Not applicable to this property type,,Other,1981,627.7,10.5," 7,024,938 ",67%,0%,0%,,,"The water meter was changed out on October 24th, 2013. ",,0603405100
Tudor Place Condominium,Yes,Multifamily Housing,157 W. 6th St.,02127," 60,000 ",40.8,95,,Multifamily Housing,1989,180,3," 2,448,960 ",47%,53%,0%,39.20,,,,600685010
TYNAN,Municipal,K-12 School,650 E. Fourth St.,02127," 120,000 ",68.4,76,,K-12 School,1972,510.7, 4.3 ," 8,212,293 ",21%,79%,0%,2.43,,,,
West Square,Yes,Multifamily Housing,320 D Street,02127," 348,089 ",25.1,100,,"Multifamily Housing, Parking",2013,486.3,1.9," 6,433,959 ",51%,49%,0%,13.07,,"Residents billed directly for gas and electric. 
Common area gas for building hot water and common area heat.

Building has a parking garage included in account.

Was issued the CO in phases.  Half of the building was completed in December 2013 and the other half was completed in April 2014.  We have just now reached stabilization- we are currently 92% occupied and 96% lease

Construction did not complete until April, water bill were not taken over by building until that time. ",,0601509010
175 McClellan HWY,Yes,Not Available,144 Addison St,02128, Not Available ,Not Available,Not applicable to this property type,,Not Available,1910,998.3,Not Available," 14,248,604 ",39%,61%,0%,,,"Each property use is specified. The gross floor areas changed from year 2013 to 2014 because we lost some tenants and gained new tenants in office, art studio, manufacturing, and warehouse. This affects the ability to get a ""full year's data"" because the floor area's changed. A representative from Boston Environment and Energy Department has advised to submit the report with these different floor areas.
Data was collected from NSTAR, National Grid, and a compilation of our water usage from the Boston Water and Sewer Commission.
",,00548-100
440 McClellan LLC,Yes,Non-Refrigerated Warehouse,440 William F McClellan Highway,02128," 121,101 ",29.7,71,,Non-Refrigerated Warehouse,1960,264.2,2.2," 3,599,643 ",46%,54%,0%,3.64,,Building Usage Data for Natural Gas and Electric is whole building data provided by utility companies.,,0101662000
A-07 Station,Municipal,Police Station,69 Paris St,02128," 16,194 ",108.7,Not applicable to this property type,,Police Station,2000,128.8, 8.0 ," 1,760,862 ",46%,54%,0%,2.70,,,,
ADAMS,Municipal,K-12 School,165 Webster St.,02128," 41,336 ",48,98,,K-12 School,1910,119.2, 2.9 ," 1,984,534 ",16%,84%,0%,0.99,,,,
ALIGHIERI,Municipal,K-12 School,37 Gove St.,02128," 16,948 ",53,100,,K-12 School,1924,50.6, 3.0 ," 898,293 ",7%,93%,0%,0.55,,,,
Barnes School Apartments LLc,Yes,Residence Hall/Dormitory,127 Marion Street,02128," 145,016 ",45.9,87,,"Parking, Residence Hall/Dormitory",1900,454.6,3.2," 6,466,115 ",39%,61%,0%,10.73,,,,0105980000
BRADLEY,Municipal,K-12 School,110 Beachview Rd.,02128," 33,128 ",52.5,95,,K-12 School,1958,110.3, 3.3 ," 1,739,332 ",24%,76%,0%,1.14,,,,
East Boston Branch,Municipal,Library,276 Meridian St,02128," 9,720 ",51.7,Not applicable to this property type,,Library,2000,29.3, 3.0 ," 502,362 ",12%,88%,0%,0.01,,,,
EAST BOSTON HS,Municipal,K-12 School,86 White St.,02128," 212,505 ",68.1,76,,K-12 School,1926,866.7, 4.1 ," 14,463,413 ",16%,84%,0%,0.86,,,,
East Boston Neighborhood Health Center,Yes,Urgent Care/Clinic/Other Outpatient,10 Gove St,02128," 57,458 ",103.1,Not applicable to this property type,,Urgent Care/Clinic/Outpatient,1978,533.8,9.3," 5,922,970 ",85%,15%,0%,,,,,Not Available
East Boston Stadium,Municipal,Other,143 Porter St,02128," 112,500 ",9.3,Not applicable to this property type,,Other,2000,95.2, 0.8 ," 1,041,622 ",76%,0%,0%,,,,,
EEC EAST BOSTON,Municipal,K-12 School,135 Gove St.,02128," 36,400 ",60.6,79,,K-12 School,1998,155.6, 4.3 ," 2,207,350 ",40%,60%,0%,1.32,,,,
Engine 05,Municipal,Fire Station,360 Saratoga St,02128," 10,080 ",127.8,Not applicable to this property type,,Fire Station,2000,79, 7.8 ," 1,288,304 ",19%,81%,0%,2.49,,,,
Engine 09,Municipal,Fire Station,239 Sumner St,02128," 18,836 ",108.2,Not applicable to this property type,,Fire Station,2000,137.3, 7.3 ," 2,037,676 ",33%,67%,0%,1.40,,,,
Engine 56,Municipal,Fire Station,1 Ashley St,02128," 6,844 ",176.1,Not applicable to this property type,,Fire Station,2000,73.8, 10.8 ," 1,205,456 ",19%,81%,0%,4.43,,,,
GUILD,Municipal,K-12 School,5 Ashley St.,02128," 36,628 ",49.1,97,,K-12 School,1921,114.1, 3.1 ," 1,798,427 ",24%,76%,0%,1.01,,,,
KENNEDY PJ,Municipal,K-12 School,343 Saratoga St.,02128," 36,190 ",36.5,100,,K-12 School,1926,83.9, 2.3 ," 1,321,477 ",24%,76%,0%,0.92,,,,
Landfall West Apartments: 401 Border Street,Yes,Multifamily Housing,401 Border St,02128," 38,000 ",105.3,26,,Multifamily Housing,1976,252.3,6.6," 4,001,385 ",23%,77%,0%,47.03,,,,0103613000
Maverick Landing II,Yes,Multifamily Housing,115 Sumner Street,02128," 50,000 ",109.7,20,,Multifamily Housing,1900,329,6.6," 5,484,918 ",16%,84%,0%,55.46,,,,0105402010
McArdle Bridge Tender House,Municipal,Other - Public Services,500 Meridian St,02128," 3,024 ",246.1,Not applicable to this property type,,Other - Public Services,2000,64.8, 21.4 ," 744,070 ",57%,0%,0%,,,,,
MCKAY,Municipal,K-12 School,122 Cottage St.,02128," 79,082 ",39.1,97,,K-12 School,1926,210.8, 2.7 ," 3,092,877 ",34%,66%,0%,1.05,,,,
New East Boston,Municipal,Library,365 Bremen Street,02128," 15,000 ",Not Available,Not applicable to this property type,,Library,2000,Not Available, Not Available , Not Available ,0%,0%,0%,,,,,
New England Casket Co Inc,Yes,Not Available,1141 Bennington Street,02128, Not Available ,Not Available,Not applicable to this property type,,Not Available,1954,253.9,Not Available," 2,624,552 ",100%,0%,0%,,,,,Not Available
O'DONNELL,Municipal,K-12 School,33 Trenton St.,02128," 24,648 ",46,98,,K-12 School,1932,73.4, 3.0 ," 1,133,431 ",27%,73%,0%,1.64,,,,
Orient Heights Branch,Municipal,Library,18 Barnes Ave,02128," 10,000 ",27.1,Not applicable to this property type,,Library,2000,17.3, 1.7 ," 270,666 ",25%,75%,0%,0.00,,,,
OTIS,Municipal,K-12 School,218 Marion St.,02128," 35,100 ",61.6,93,,K-12 School,1905,130.8, 3.7 ," 2,161,499 ",17%,83%,0%,4.21,,,,
Paris Street Community Center,Municipal,Other - Recreation,112 Paris St,02128," 26,704 ",81,Not applicable to this property type,,Other - Recreation,2000,124, 4.6 ," 2,162,289 ",10%,90%,0%,0.72,,,,
Paris Street Pool,Municipal,Fitness Center/Health Club/Gym,113 PARIS ST,02128," 24,896 ",150.6,Not applicable to this property type,,Fitness Center/Health Club/Gym,2000,227.3, 9.1 ," 3,748,296 ",17%,83%,0%,3.05,,,,
Pino Community Center,Municipal,Social/Meeting Hall,86 Boardman St,02128," 11,250 ",96.2,Not applicable to this property type,,Social/Meeting Hall,2000,57.5, 5.1 ," 1,081,900 ",0%,100%,0%,0.58,,,,
Portside at East Pier,Yes,Multifamily Housing,50 Lewis Street,02128," 198,977 ",Not Available,Not Available,,"Multifamily Housing, Parking",2014,32,0.2, Not Available ,0%,0%,0%,,,,,0104447000
Shore Plaza,Yes,Multifamily Housing,400-800 Border St,02128," 297,154 ",141.9,3,,Multifamily Housing,1975,2654.9,8.9," 42,160,986 ",23%,77%,0%,74.91,,,,0103678000
UMANA,Municipal,K-12 School,312 Border St.,02128," 169,000 ",137.1,44,,K-12 School,1975,1235.5, 7.3 ," 23,176,324 ",0%,100%,0%,1.02,,,,
Victory Gardens Apartments: 54 Orleans Street,Yes,Multifamily Housing,54 Orleans St,02128," 124,278 ",36.9,100,,Multifamily Housing,1979,283.1,2.3," 4,585,618 ",20%,80%,0%,18.49,,,,0105343100
425 Medford Street,Yes,Office,425 Medford Street,02129," 186,818 ",30.8,Not applicable to this property type,,"Office, Parking",1899,392.8,2.1," 5,752,575 ",35%,65%,0%,66.50,,"Property has short term tenants.  We are actively trying to rent the building.  Depending on the tenant use would be the energy saving systems that could be added to the property

The gas company gave us estimated invoices only for most of 2013.

Still trying to get he electric usage as the invoices were not in our name and the tenant has moved out.

Building was vacant most of the year 2014.",,0201799000  0201798000
465 Medford Street,Yes,Office,465 Medford Street,02129," 180,096 ",347.9,9,,"Office, Parking",1920,3637,20.2," 62,662,009 ",11%,89%,0%,1.81,,Electric Usage provided by NSTAR.  Tenant which occupies 60% of they building is working two shifts and is a high energy user. ,,0201804000 0201802000
56 Roland Street,Yes,Other,56 Roland Street,02129," 132,614 ",3465,Not Available,,"Office, Other",1910,24742.9,186.6," 459,506,523 ",2%,98%,0%,6.86,,We have been doing building renovations for about 18 months which has caused and heightened energy usage.,,0202125000
A-15 Station,Municipal,Police Station,20 Vine St,02129," 20,000 ",96.1,Not applicable to this property type,,Police Station,2000,146.2, 7.3 ," 1,922,298 ",53%,47%,0%,2.51,,,,
Basilica Leasehold Condominium Trust: Basilica Condominium,Yes,Multifamily Housing,106 13th Street,02129," 280,000 ",26.6,99,,Multifamily Housing,1986,503.1,1.8," 7,452,880 ",33%,67%,0%,10.69,,,,0203510175
Bunker Hill Business Center,Yes,Manufacturing/Industrial Plant,440 Rutherford Avenue,02129," 53,525 ",12.1,Not applicable to this property type,,Manufacturing/Industrial,1954,35.2,0.7," 648,379 ",3%,97%,0%,0.75,,,,0202162085
