Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Address of Record,DC Real Property ID,Owner of Record,PM Parent Property ID,PM Property ID,Parent Property Name,Ward,X-Coordinate (ESRI),Y-Coordinate (ESRI)
Unit Owners Association of DC USA Condo inc,,"3100 14th Street, NW",Washington,District of Columbia,DC,20010,,,918669,,2008,2013,,,,,,,,,,3100 14TH STREET NW,26741933,DC USA CONDOMINIUM,,2986561,,1,,
Winchester Underwood Cooperative,,"6445 Luzon Avenue, N.W.",Washington,District of Columbia,DC,20012,,,138199,,1959,2013,,,,,,,,473.7,,6445 LUZON AV NW,27290006,THE WINCHESTER-UNDERWOOD COOPERATIVE INC,,3670808,,4,397035.1613,144511.2871
Walden Commons,Multifamily Housing,1336 Missouri Ave NW,Washington,District of Columbia,DC,20011,,,160098,135000,1949,2013,,,,,,,,,,1336 MISSOURI AV NW,27940899,WALDEN COMMONS LLC,,3467992,,4,397219.3263,143705.1977
Kenyon Square,Multifamily Housing,1390 Kenyon St NW,Washington,District of Columbia,DC,20010,,,150123,204796,2007,2013,,57.2,95.8,57.4,96.1,,,879.4,,1390 KENYON ST NW,28481848,KENYON SQUARE CONDO,,3298250,,1,,
"Trinity Towers, LLC",Multifamily Housing,3023 14th Street NW,Washington,District of Columbia,DC,20009,,,101814,101814,1939,2013,100,22,23.1,22.1,23.2,,,119,64.90364783,3017 14TH ST NW,28490839,TRINITY TOWERS APARTMENTS LP,,4068835,,1,,
Wonder Plaza,Office,"2301 Georgia Avenue, NW",Washington,District of Columbia,DC,20001,,,119700,110000,,2013,,,,,,,,,,2301 GEORGIA AV NW,30640044,HOWARD UNIVERSITY,,3513078,,1,398131.4601,139196.1376
Medstar National Rehabilitation Network,Other - Specialty Hospital,102 Irving St NW,Washington,District of Columbia,DC,20010,,,140214,227030,1984,2013,,,,,,,,,51.20336519,0106 IRVING ST,31290802,WASHINGTON HOSPITAL CENTER,,3928825,,,398816.1003,140196.1991
Cloisters,Multifamily Housing,100 Michigan Ave NE,Washington,District of Columbia,DC,20017,,,564700,346210,1985,2013,,2,6.3,2,6.3,,,87.6,62.01842812,100 MICHIGAN AVENUE NE & 2 HAWTHORNE CT NE,34993020,CONDOMINIUM #3020,,3916583,,5,,
300 Morse Street Condominium,Distribution Center,300 Morse Street NE,Washington,District of Columbia,DC,,,,115211,115211,1985,2013,,58.5,183.8,,,,,853.8,24.55321106,300 MORSE STREET NE,35871321,300 MORSE ST NE CONDOMINIUM,,3631342,,5,,
Edgewood I,Multifamily Housing,"601 Edgewood Street, NE",Washington,District of Columbia,DC,20017,,,345574,345574,1970,2013,,38,89.8,38,89.8,,,1303.9,60.94382101,0601 EDGEWOOD ST NE,36300807,EDGEWOOD TERRACE IV PRESERVATION CORPORATION,,3298446,,5,400182.5955,139548.9123
Edgewood IV,Multifamily Housing,"611 Edgewood Street, NE",Washington,District of Columbia,DC,20017,,,383900,383900,1973,2013,,37.7,74.7,,,,,1243.4,37.69106538,0611 EDGEWOOD ST NE,36300808,EDGEWOOD IV LP,,3298382,,5,400094.1422,139424.7248
Heights II,Multifamily Housing,310-390 Taylor Street NE,Washington,District of Columbia,DC,20017,,,181328,181328,1981,2013,,,,,,,,,55.63674667,0310 - 0390 TAYLOR ST NE,36640824,HORNING ASSOCIATES,,3760912,,5,399724.3417,141605.6521
Holiday Inn Express and Suites Washington DC Northeast,Hotel,1917 Bladensburg Road NE,Washington,District of Columbia,DC,20002,,,100130,101130,2008,2013,,64.9,149.9,,,,,639.4,51.87382577,1917 BLADENSBURG RD,43930015,SUTON ONE LLC,,3670053,,5,402404.3131,138723.9119
Pentacle Apartments,Multifamily Housing,1501-1523 Benning Road NE,Washington,District of Columbia,DC,20002,,,181010,181010,1977,2013,,,,,,,,,42.96005746,1501 - 1523 BENNING RD NE,45090157,PENTACLE LIMITED PARTNERSHIP,,3760909,,6,401512.2517,136837.5404
Mayfair Mansions,Multifamily Housing,"3744 1/2 Hayes Street, NE",Washington,District of Columbia,DC,20019,,,417812,417812,1940,2013,,2.9,9.1,2.9,9.1,,,152.8,86.93407561,3720 HAYES ST,50570803,MAYFAIR MANSIONS LIMITED PARTNERSHIP,,3314944,,7,404468.1058,137232.2412
Langston Lane,Multifamily Housing,"2726 Langston Place, SE",Washington,District of Columbia,DC,20020,,,113703,113703,1990,2013,,,,,,,,,,2726 - 2734 LANGSTON PL SE,57410138,LANGSTON LANE LTD PRTNSHP,,3488856,,8,402463.4701,131909.49
Oxford Manor Apartments,Multifamily Housing,"2607 Bowen Road, SE",Washington,District of Columbia,DC,20020,,,279872,291302,1977,2013,,51.9,96.8,,,,,1235.8,45.3477834,2607 BOWEN RD,58690068,OXFORD MANOR LP,,3316372,,8,400824.0862,132378.3864
the overlook,Multifamily Housing,3700 9th street se,Washington,District of Columbia,DC,20032,,,319569,319569,1968,2013,,13.6,36.6,,,,,482.3,21.89135993,3700 9TH ST SE,59260003,PARKSIDE TERRACE DEVELOPMENT LLC,,3286246,,8,400510.3878,129763.3439
04080837_Market Square,Office,701 & 801 Pennsylvania Ave NW,Washington,District of Columbia,DC,20004,,,563727,704156,1990,2013,,,,,,,,,,801 PENNSYLVANIA AV,04080836;04080837,WELLS REIT II MARKET SQUARE EAST & WEST LLC,,3426348,,2,397964.4978,136301.6479
Capital Park Plaza,Multifamily Housing,201 I St SW,Washington,District of Columbia,DC,20024,,,289750,546234,1965,2013,,81.9,149.4,,,,,3592.7,51.98962349,0101 G ST SW,05400109;05400118,CAPITAL PARK APARTMENTS LTD PRTNSHP,,3295814,,6,398923.6272,134883.004
Velocity Condominium,Multifamily Housing,1025 1st Street SE,Washington,District of Columbia,DC,20003,,,198905,244289,2009,2013,,,,,,,,,,1025 1ST STREET SE,0699N2972,VELOCITY CONDOS,,3419984,,6,,
594,Self-Storage Facility,175 R Street NE,Washington,District of Columbia,DC,20002,,,116952,141310,1924,2013,,8.9,23.2,,,,,135.7,5.787276201,1629 - 1631 ECKINGTON PL NE,PAR01170021,R STREET STORAGE ASSOCIATES,,3662992,,5,399660.5772,138267.568
3600 NY Properties LLC,Office,"3600 New York Avenue, NE",Washington,District of Columbia,DC,20001,,,128160,123000,1963,2013,,,,,,,,,,3600 NEW YORK AV NE,PAR01730118,3600 NY PROPERTIES LLC,,3630815,,5,403911.0215,138804.8464
,,,Washington,District of Columbia,DC,20037,,,176792,,,2013,,,,,,,,,,1255 22ND ST NW,700193,1255 22ND STREET LIMITED PARTNERSHIP,,,,2,,
,,,Washington,District of Columbia,DC,20037,,,78728,,,2013,,,,,,,,,,2124 I ST NW,770845,GEORGE WASHINGTON UNIVERSITY,,,,2,,
Hampton Inn - White House,,1729 H Street NW,Washington,District of Columbia,DC,20006,,,74199,,,2013,,,,,,,,,,1729 H ST NW,1270854,PALMETTO HOSPITALITY OF WASHINGTON DC II LLC,,,,2,,
,,,Washington,District of Columbia,DC,20006,,,108205,,,2013,,,,,,,,,,0901 16TH ST NW,1990824,LABORERS'  INTERNATIONAL UNION OF NORTH AMERICA,,,,2,,
,,,Washington,District of Columbia,DC,20001,,,102133,,,2013,,,,,,,,,,900 G ST,3760068,ASB MRP 900 G STREET LLC,,,,2,,
,,,Washington,District of Columbia,DC,20260,,,1388747,,,2013,,,,,,,,,,0420 10TH ST SW,3870870,POTOMAC CREEK ASSOCIATES LP,,,,6,,
,,,Washington,District of Columbia,DC,20001,,,215960,,,2013,,,,,,,,,,1825 7TH ST,4410877,BROADCAST RESIDENTIAL PARTNERS LLC,,,,1,,
,,,Washington,District of Columbia,DC,20024,,,202392,,,2013,,,,,,,,,,0400 6TH ST SW,4940031,BIT INVESTMENT FIFTY-EIGHT LLC,,,,6,,
,,,Washington,District of Columbia,DC,20003,,,269995,,,2013,,,,,,,,,,1345 SOUTH CAPITOL ST,6530111,FUND SOUTH CAPITOL LLC,,,,6,,
,,,Washington,District of Columbia,DC,20003,,,400000,,,2013,,,,,,,,,,1015 HALF ST,6970045,HALF STREET SE LLC,,,,6,,
,,,Washington,District of Columbia,DC,20010,,,92538,,,2013,,,,,,,,,,3224 16TH ST NW,26080652,HOLY SPIRIT ASSOCIATION FOR UNIFICATION WORLD,,,,1,,
,,,Washington,District of Columbia,DC,20002,,,74064,,,2013,,,,,,,,,,0200 RHODE ISLAND AV NE,35600810,MT INVESTMENTS LLC,,,,5,,
,,,Washington,District of Columbia,DC,20002,,,78372,,,2013,,,,,,,,,,0210 RHODE ISLAND AV NE,35600811,MT INVESTMENTS LLC,,,,5,,
,,,Washington,District of Columbia,DC,20002,,,50000,,,2013,,,,,,,,,,0411 NEW YORK AV NE,35940800,HARRIS FAMILY REAL ESTATE LLC,,,,5,,
,,,Washington,District of Columbia,DC,20018,,,61584,,,2013,,,,,,,,,,2146 24TH PL NE,42580138,2146 24TH PL B&B LLC,,,,5,,
Watergate west,,2700 Virginia Avenue NW,Washington,District of Columbia,DC,20037,,,307708,,,2013,,,,,,,,,,2700 VIRGINIA AV NW,80809,WATERGATE WEST INC,,,,2,,
THE BADER CONDO,,2515 K ST NW,Washington,District of Columbia,DC,20037,,,51614,,,2013,,,,,,,,,,2515 K ST NW,152002,THE BADER CONDO,,,,2,,
The Griffin Condominium,,"955 26th Street, N.W.",Washington,District of Columbia,DC,20037,,,77638,,,2013,,,,,,,,,,0955 26TH ST NW,162006,THE GRIFFIN CONDO,,,,2,,
2400 Pennsylvania AV NW,,2400 Pennsylvania Ave NW,Washington,District of Columbia,DC,20037,,,71934,,,2013,,,,,,,,,,2400 PENNSYLVANIA AV NW,270819,S MARSH,,,,2,,
Jefferson House Condominium,,922 24th St NW,Washington,District of Columbia,DC,20037,,,88255,,,2013,,,,,,,,,,0922 24TH ST NW,282010,JEFFERSON HOUSE CONDO,,,,2,,
The Elise Apartments,,"825 New Hampshire Ave, NW",Washington,District of Columbia,DC,20037,,,107947,,,2013,,,,,,,,,,0825 NEW HAMPSHIRE AV NW,300818,ESTELLE S GELMAN TRUSTEE,,,,2,,
Bon Wit Plaza,,2401 H Street NW,Washington,District of Columbia,DC,20037,,,70638,,,2013,,,,,,,,,,2401 H ST NW,302012,BON WIT PLAZA CONDO,,,,2,,
Western Presbyterian Church,,2401 Virginia Avenue N.W.,Washington,District of Columbia,DC,20037,,,52404,,,2013,,,,,,,,,,2401 VIRGINIA AV NW,310028,WESTERN PRESBYTERIAN CHURCH TRUSTEES,,,,2,,
Chromium,,2301 M Street NW,Washington,District of Columbia,DC,20037,,,68405,,,2013,,,,,,,,,,2301 M ST NW,360846,CHROMIUM LLC,,,,2,,
West End Residences,,1221 24th St NW,Washington,District of Columbia,DC,20037,,,69225,,,2013,,,,,,,,,,1201 24TH STREET NW,361489,WEST END RESIDENCES,,,,2,,
HST Lesee CMBS LLC DBA The Westin Georgetown,,2350 M St NW,Washington,District of Columbia,DC,20037,,,219252,,,2013,,,,,,,,,,2350 M ST NW,370854,STARWOOD REALTY CMBS I LLC,,,,2,,
Gibson Condominium,,1140 23rd street NW,Washington,District of Columbia,DC,20037,,,67432,,,2013,,,,,,,,,,1140 23RD STREET NW,371011,THE GIBSON CONDOMINIUM,,,,2,,
"Three Washington Circle, A Condominium",,"3 Washington Circle, NW",Washington,District of Columbia,DC,20037,,,50278,,,2013,,,,,,,,,,0003 WASHINGTON CIR NW,382013,THE CHANCELLOR CONDO,,,,2,,
Townhouse Row,,"607 23rd Street, NW",Washington,District of Columbia,DC,20052,,,71224,,,2013,,,,,,,,,,607 23RD ST,570055,GEORGE WASHINGTON UNIVERSITY,,,,2,,
Cosmos Club,,2121 Massachusetts Ave NW,Washington,District of Columbia,DC,20008,,,94534,,,2013,,,,,,,,,,2121 MASSACHUSETTS AV NW,660078,COSMOS CLUB,,,,2,,
Dupont West Condominiums,,2141 P Street NW,Washington,District of Columbia,DC,20057,,,65008,,,2013,,,,,,,,,,2141 P ST NW,671018,DUPONT WEST CONDOMINIUM,,,,2,,
Brinton Woods Health and Rehabilitation,,2131 O Street NW,Washington,District of Columbia,DC,20037,,,71734,,,2013,,,,,,,,,,2131 O ST NW,680818,MAR-SALLE CENTER ASSOCIATES,,,,2,,
The Bond,,"1230 New Hampshire Avenue, NW",Washington,District of Columbia,DC,20036,,,165495,,,2013,,,,,,,,,,1230 NEW HAMPSHIRE AV,700196,1230 NEW HAMPSHIRE LLC,,,,2,,
The Newport Condominium,,1260 21st NW,Washington,District of Columbia,DC,20036,,,81630,,,2013,,,,,,,,,,1260 21ST ST NW,701038,THE NEWPORT CONDOMINIUM,,,,2,,
The Saint George Condominium,,1280 21st St NW,Washington,District of Columbia,DC,20036,,,68116,,,2013,,,,,,,,,,1280 21ST ST NW,701040,THE SAINT GEORGE CONDOMINIUM,,,,2,,
Best Western Georgetown Hotel and Suites,,1121 New Hampshire Avenue Northwest,Washington,District of Columbia,DC,20037,,,55161,,,2013,,,,,,,,,,1121 NEW HAMPSHIRE AV NW,720006,GEORGETOWN SUITES LLC,,,,2,,
Aston,,"1129 New Hampshire Ave, NW",Washington,District of Columbia,DC,20037,,,104970,,,2013,,,,,,,,,,1129 NEW HAMPSHIRE AV NW,720007,GEORGE WASHINGTON UNIVERSITY,,,,2,,
The Savoy Apartments,,"1101 New Hampshire Ave, NW",Washington,District of Columbia,DC,20037,,,161623,,,2013,,,,,,,,,,1101 NEW HAMPSHIRE AV NW,720858,DAVID HORNSTEIN,,,,2,,
West End Place Condominium,,1099 22nd Street NW,Washington,District of Columbia,DC,20037,,,96271,,,2013,,,,,,,,,,1099 22ND ST NW,731044,WEST END PLACE CONDOMINIUM,,,,2,,
Rice Hall,,"2121 Eye St, NW",Washington,District of Columbia,DC,20052,,,70308,,,2013,,,,,,,,,,2121 I ST NW,750864,GEORGE WASHINGTON UNIVERSITY,,,,2,,
Guthridge Hall,,"2115 F Street, NW",Washington,District of Columbia,DC,20052,,,64899,,,2013,,,,,,,,,,2115 F ST NW,800825,GEORGE WASHINGTON UNIVERSITY,,,,2,,
State Plaza Hotel,,"2117 E. St. NW, Washington D.C. 20036",Washington,District of Columbia,DC,20037,,,197681,,,2013,,,,,,,,,,2116 F ST NW,810097,SHERRY TOWERS APARTMENT HOTEL LP,,,,2,,
Dakota,,"2100 F Street, NW",Washington,District of Columbia,DC,20052,,,69402,,,2013,,,,,,,,,,2100 F ST NW,810846,GEORGE WASHINGTON UNIVERSITY,,,,2,,
Monroe House Condominium,,522 21st St NW,Washington,District of Columbia,DC,20006,,,56608,,,2013,,,,,,,,,,0522 21ST ST NW,812020,MONROE HOUSE CONDO,,,,2,,
"2000 Florida Avenue, NW",,"2000 Florida Avenue, NW",Washington,District of Columbia,DC,20009,,,88150,,,2013,,,,,,,,,,2000 FLORIDA AV NW,900033,AMERICAN GEOPHYSICAL UNION,,,,2,,
Bromine,,"1718 Connecticut Ave, NW",Washington,District of Columbia,DC,20009,,,64794,,,2013,,,,,,,,,,1718 CONNECTICUT AV NW,920061,BROMINE LLC,,,,2,,
Jemal's Dupont LLC,,1630 Connecticut Ave NW,Washington,District of Columbia,DC,20009,,,64517,,,2013,,,,,,,,,,1630 CONNECTICUT AV NW,930146,1630 CONNECTICUT LTD,,,,2,,
1666 Connecticut Ave NW,,1666 Connecticut Ave NW,Washington,District of Columbia,DC,20009,,,113302,,,2013,,,,,,,,,,1666 CONNECTICUT AV NW,930830,1666 CONNECTICUT AVENUE LLC,,,,2,,
Hotel Madera,,"1310 New Hampshire Ave, NW",Washington,District of Columbia,DC,20036,,,60291,,,2013,,,,,,,,,,1308 - 1310 NEW HAMPSHIRE AV NW,970816,LHO WASHINGTON HOTEL TWO LLC,,,,2,,
SAINT JAMES II ASSOCIATES LLC,,2033 M ST NW,Washington,District of Columbia,DC,20036,,,132445,,,2013,,,,,,,,,,2033 M ST NW,990052,SAINT JAMES II ASSOCIATES LLC,,,,2,,
American Society of Hematology Building,,2021 L Street,Washington,District of Columbia,DC,20036,,,77376,,,2013,,,,,,,,,,2021 L ST NW,1000103,ASH 2021 L LLC,,,,2,,
Francis Scott Key Hall,,"600 20th Street, NW",Washington,District of Columbia,DC,20052,,,62271,,,2013,,,,,,,,,,0600 20TH ST NW,1030001,GEORGE WASHINGTON UNIVERSITY,,,,2,,
Empire,,"2000 F Street, NW",Washington,District of Columbia,DC,20006,,,85860,,,2013,,,,,,,,,,2000 F ST NW,1040814,WASHINGTON TRANSAIR LLC,,,,2,,
The York,,532 20th St NW,Washington,District of Columbia,DC,20006,,,66528,,,2013,,,,,,,,,,0532 20TH ST NW,1040837,COLUMBIA REALTY VENTURE,,,,2,,
818 18th Street,,818 18th Street NW,Washington,District of Columbia,DC,20006,,,60917,,,2013,,,,,,,,,,0818 18TH ST,1050846,NATTAK INVESTMENTS LLC,,,,,,
President Madison Apartments,,"1908 Florida Ave, NW",Washington,District of Columbia,DC,20009,,,86166,,,2013,,,,,,,,,,1908 FLORIDA AV NW,1090801,BDC PRESIDENT MADISON LLC,,,,2,,
The Sedgewick,,"1722 19th Street, NW",Washington,District of Columbia,DC,20009,,,70443,,,2013,,,,,,,,,,1722 19TH ST NW,1100809,SEDGEWICK DC OWNER LLC,,,,2,,
The Caravel,,1601 Connecticut Ave,Washington,District of Columbia,DC,20009,,,52552,,,2013,,,,,,,,,,1601 CONNECTICUT AV NW,1110082,MICHAEL KAIN,,,,2,,
Dupont Office/Washington DC/Site #C502,,1913 MASSACHUSETTS AVE NW,Washington,District of Columbia,DC,20036,,,65608,,,2013,,,,,,,,,,1913 MASSACHUSETTS AV NW,1130060,PNC BANK NATL ASSOCIATION,,,,2,,
The Sunderland,,1320 19th Street NW,Washington,District of Columbia,DC,20036,,,59660,,,2013,,,,,,,,,,1320 19TH ST NW,1150081,THE SUNDERLAND BUILDING LP,,,,2,,
"21 Dupont Associates, LLC",,"21 Dupont Circle, NW",Washington,District of Columbia,DC,20036,,,55818,,,2013,,,,,,,,,,0021 DUPONT CIR NW,1150082,21 DUPONT ASSOCIATES LLC,,,,2,,
The Lauren Condominium,,"1301 20th St., NW",Washington,District of Columbia,DC,20036,,,93684,,,2013,,,,,,,,,,1301 20TH ST NW,1151057,THE LAUREN CONDOMINIUM,,,,2,,
"1920 N St, NW",,1920 N Street NW,Washington,District of Columbia,DC,20036,,,125000,,,2013,,,,,,,,,,1920 N ST NW,1160075,JBG 1920 N LLC,,,,2,,
1233 20th Street,,1233 20th St NW,Washington,District of Columbia,DC,20036,,,222726,,,2013,,,,,,,,,,1233 - 1243 20TH ST NW,1160076,JBG/1233 20TH STREET LLC,,,,2,,
1140 19th Street NW,,1140 19th Street NW,Washington,District of Columbia,DC,20036,,,82821,,,2013,,,,,,,,,,1140 19TH ST NW,1170081,AREP 1140 19TH STREET LLC,,,,2,,
,,,Washington,District of Columbia,DC,20006,,,381951,,,2013,,,,,,,,,,1916 I ST,1180029,1919 PENNSYLVANIA ASSOCIATE LLC,,,,2,,
Old Main,,"1922 F Street, NW",Washington,District of Columbia,DC,20052,,,55789,,,2013,,,,,,,,,,1922 F ST NW,1220028,GEORGE WASHINGTON UNIVERSITY,,,,2,,
Intrepid Eye Street,,1720 I Street NW,Washington,District of Columbia,DC,20006,,,72545,,,2013,,,,,,,,,,1718 - 1720 I ST NW,1270048,ROBERT ARTHUR,,,,2,,
Paralyzed Veterans of America,,"801 Eighteenth Street, NW",Washington,District of Columbia,DC,20006,,,57976,,,2013,,,,,,,,,,0801 18TH ST NW,1270051,801 18TH STREET ASSOCIATES,,,,2,,
800 17TH ST,,800 17TH ST NW,Washington,District of Columbia,DC,20006,,,431570,,,2013,,,,,,,,,,0800 17TH ST,1270055,VNO 1707 H STREET LLC,,,,2,,
,,,Washington,District of Columbia,DC,20006,,,132548,,,2013,,,,,,,,,,0888 17TH ST NW,1270851,JOHN W BRAWNER,,,,2,,
1712 Eye Street,,"1712 I Street, NW",Washington,District of Columbia,DC,20006,,,60361,,,2013,,,,,,,,,,1714 I ST NW,1270853,1712 LP,,,,2,,
The Dupont Circle Hotel,,"1500 New Hampshire Ave, NW",Washington,District of Columbia,DC,20036,,,192274,,,2013,,,,,,,,,,1500 NEW HAMPSHIRE AV NW,1350004,DOYLE DUPONT LLC,,,,2,,
The Ring Building,,1200 18th street NW,Washington,District of Columbia,DC,20036,,,192584,,,2013,,,,,,,,,,1200 18TH ST NW,1390810,RING ASSOCIATES LLC,,,,2,,
Carlyle Suites Hotel,,1731 New Hampshire Ave N.W.,Washington,District of Columbia,DC,20009,,,102498,,,2013,,,,,,,,,,1731 NEW HAMPSHIRE AV NW,1540829,CS BOND ST C PROPERTIES LLC,,,,2,,
Cavanaugh Court,,1526 17th St NW,Washington,District of Columbia,DC,20036,,,53765,,,2013,,,,,,,,,,1526 17TH ST NW,1560034,CAVANAUGH COURT OWNERS,,,,2,,
"The Copley Plaza Cooperative, Inc.",,1514 17th St NW,Washington,District of Columbia,DC,20036,,,85251,,,2013,,,,,,,,,,1514 17TH ST NW,1560351,COPLEY PLAZA COOPERATIVE INC,,,,2,,
1734 P Street NW,,1734 P Street NW,Washington,District of Columbia,DC,20036,,,59544,,,2013,,,,,,,,,,1734 P ST NW,1570107,AVONDALE COOPERATIVE APARTMENTS INC,,,,2,,
Carnegie Endowment for International Peace,,"1779 Massachusetts Avenue, NW",Washington,District of Columbia,DC,20036,,,89323,,,2013,,,,,,,,,,1779 MASSACHUSETTS AV NW,1570866,CARNEGIE ENDOWMENT FOR INTL PEACE,,,,2,,
NAB,,"1771 N Street, NW",Washington,District of Columbia,DC,20036,,,73315,,,2013,,,,,,,,,,1771 N ST NW,1580076,NATIONAL ASSOCIATION  OF BROADCASTERS,,,,2,,
Paul H.Nitze,,"1740 Mass Avenue ,NW",Washington,District of Columbia,DC,20036,,,78889,,,2013,,,,,,,,,,1740 MASSACHUSETTS AV NW,1580082,JOHNS HOPKINS UNIVERSITY,,,,2,,
Topaz Hotel,,"1733 N Street, NW",Washington,District of Columbia,DC,20036,,,69795,,,2013,,,,,,,,,,1733 N ST NW,1580838,LHO WASHINGTON HOTEL ONE L L C,,,,2,,
1201 Connecticut Avenue,,1201 Connecticut ave NW,Washington,District of Columbia,DC,20036,,,202675,,,2013,,,,,,,,,,1201 CONNECTICUT AV,1590855,M C CAPITOL ASSOCIATES LLC,,,,2,,
Washington Square*,,1050 Connecticut Avenue N.W.,Washington,District of Columbia,DC,20036,,,967072,,,2013,,,,,,,,,,1050 CONNECTICUT AV NW,1630055,MARIA C TRIPOLI,,,,2,,
1717 K St NW,,1717 K St NW,Washington,District of Columbia,DC,20036,,,430428,,,2013,,,,,,,,,,1000 CONNECTICUT AV,1630056,CONNECTICUT & K ASSOCIATES LLC,,,,2,,
FINRA,,"1735 K STREET, NW",Washington,District of Columbia,DC,20006,,,96720,,,2013,,,,,,,,,,1735 K ST NW,1630849,NATIONAL ASSOC SECURITIES DEALERS INC,,,,2,,
1701 K Street,,"1701 K Street, NW",Washington,District of Columbia,DC,20036,,,70785,,,2013,,,,,,,,,,1701 K ST NW,1640001,1701 K LLC,,,,2,,
Club Quarters Washington DC,,839 17th St. NW,Washington,District of Columbia,DC,20006,,,59746,,,2013,,,,,,,,,,0839 17TH ST NW,1650029,RCQ HOTEL DC LLC,,,,2,,
1634 Eye Street,,"1634 I Street, NW",Washington,District of Columbia,DC,20006,,,76697,,,2013,,,,,,,,,,1634 I ST,1650813,1634 EYE LLC,,,,2,,
The Metropolitan Club of the City of Washington,,1700 H Street NW,Washington,District of Columbia,DC,20006,,,56924,,,2013,,,,,,,,,,1700 H ST,1660861,METROPOLITAN CLUB,,,,2,,
Washington House- Whole Building,,2120 16th Street NW,Washington,District of Columbia,DC,20009,,,84582,,,2013,,,,,,,,,,2120 16TH STREET NW,1742153,COMMERICIAL CONDOMINIUM #2153,,,,1,,
Urban Adventures of Washington,,1612 U Street NW,Washington,District of Columbia,DC,20009,,,53038,,,2013,,,,,,,,,,1612 U ST NW,1760062,URBAN ADVENTURES OF WASH INC,,,,2,,
The Windermere,,"1825 New Hampshire Avenue, NW",Washington,District of Columbia,DC,20009,,,74360,,,2013,,,,,,,,,,1825 NEW HAMPSHIRE AV NW,1770129,WINDERMERE HARROWGATE LLC,,,,2,,
The Harrowgate,,"1833 New Hampshire Avenue, NW",Washington,District of Columbia,DC,20009,,,69192,,,2013,,,,,,,,,,1833 NEW HAMPSHIRE AV NW,1770130,WINDERMERE HARROGATE LLC,,,,2,,
Croydon,,"1815 17th Street, NW",Washington,District of Columbia,DC,20009,,,63633,,,2013,,,,,,,,,,1815 17TH ST NW,1770804,USN LLC,,,,2,,
