Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),Tax Parcel,Years Reported
District 6 Yard,Municipal,Other,315 Gardner St,02132,3000,90.3,Not Available,,Other,2000,26.2,8.7,271049,100%,,,,,Not Available,2016
District 7 Yard,Municipal,Other,58 Gibson St,02122,1500,233.6,Not Available,,Other,2000,26.4,17.6,350393,51%,49%,,,,Not Available,2016
District 8 Yard,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",58 Dana Ave,02136,3000,259.4,Not Available,,Repair Services,2000,56.7,18.9,778239,24%,32%,,,,Not Available,2016
DIV Shawmut LLC,Yes,Pre-school/Daycare,112 Shawmut Avenue,02118,70002,36.1,Not Available,,Pre-school/Daycare,1930,169.0,2.4,2525900,32%,68%,,27.0,,Not Available,"2014, 2015, 2016"
Dix Hall,Yes,College/University,30 Pilgrim Road,02115,22000,109.4,Not Available,,College/University,1953,157.9,7.2,2406499,29%,71%,,42.8,,0402016000,"2015, 2016"
Dorchester House Apartments: 10 Ellet Street,Yes,Multifamily Housing,10 Ellet St,02122,59400,52.2,71,,Multifamily Housing,1983,265.0,4.5,3100849,74%,26%,,44.8,,1500507000,"2015, 2016"
DORCHESTER HS,Municipal,K-12 School,9 Peacevale Rd.,02124,143173,71,74,,K-12 School,1925,624.4,4.4,10160901,19%,81%,,,,Not Available,2016
DOT HS ANNEX,Municipal,K-12 School,9 Peacevale Rd.,02124,10287,114,52,,K-12 School,1995,73.7,7.2,1172742,22%,78%,,,,Not Available,2016
Doubletree By Hilton Downtown Boston,Yes,Hotel,821 Washington Street,02111,396000,22.7,Not Available,,Hotel,2000,870.2,2.2,8995161,100%,,,9.3,,Not Available,"2015, 2016"
Doubletree Club Hotel Boston Bayside,Yes,Hotel,240 Mt. Vernon Street,02125,91000,81.7,67,,Hotel,1999,644.6,7.1,7433643,77%,23%,,68.1,,03448-000,"2014, 2015, 2016"
Doubletree Suites,Yes,Hotel,400 Soldiers Field Rd,02134,244038,68.6,Not Available,,Hotel,1990,1361.4,5.6,16748452,65%,35%,,66.4,,2200102000,"2015, 2016"
Draper Pool,Municipal,Other - Recreation,5279 Washington St,02132,12780,254.1,Not Available,,Other - Recreation,2000,208.1,16.3,3247569,25%,75%,,,,Not Available,2016
Dudley Branch,Municipal,Library,65 Warren St,02116,25933,118.5,Not Available,,Library,2000,207.6,8,3073503,33%,67%,,,,Not Available,2016
Dudley St,Yes,Non-Refrigerated Warehouse,55 Humphreys St,02125,105000,0.6,100,,Non-Refrigerated Warehouse,1950,6.0,0.1,62120,100%,,,10.2,,0703676000,"2014, 2015, 2016"
Dutch Maid Bakery,Yes,Manufacturing/Industrial Plant,44 Park Street,02122,140000,Not Available,Not Available,,Manufacturing/Industrial,1990,Not Available,Not Available,Not Available,,,,,,4993319,"2015, 2016"
E-05 Station,Municipal,Police Station,1708 Centrer St,02132,14290,222.8,Not Available,,Police Station,2000,214.1,15,3183851,32%,68%,,,,Not Available,2016
E-13 Station,Municipal,Police Station,3347 Washington St,02130,14750,149.9,Not Available,,Police Station,2000,153.1,10.4,2210307,37%,63%,,,,Not Available,2016
E-18 Station,Municipal,Police Station,1249 Hyde Park Ave,02136,23400,106.8,Not Available,,Police Station,2000,164.5,7,2499411,29%,71%,,,,Not Available,2016
East Boston Branch,Municipal,Library,276 Meridian St,02128,9720,34.1,Not Available,,Library,2000,19.7,2,331638,15%,85%,,,,Not Available,2016
EAST BOSTON HS,Municipal,K-12 School,86 White St.,02128,212505,73.4,73,,K-12 School,1926,924.7,4.4,15600394,14%,86%,,,,Not Available,2016
East Boston Stadium,Municipal,Other,143 Porter St,02128,112500,8.9,Not Available,,Other,2000,83.3,0.7,1000981,86%,,,,,Not Available,2016
East Canton,Yes,Multifamily Housing,79-109 East Canton St,02113,55936,108.3,84,,Multifamily Housing,1980,452.1,8.1,6055882,7%,5%,,76.2,,0801213000,2016
Economy Plumbing && Heating Supply Co,Yes,Distribution Center,875 Morton Street,02126,65000,39.5,Not Available,,Distribution Center,2007,184.1,2.8,2570490,42%,58%,,5.5,,4051719,"2014, 2015, 2016"
EDISON,Municipal,K-12 School,60 Glenmont Rd.,02135,100500,65.8,88,,K-12 School,1932,389.5,3.9,6608061,13%,87%,,,,Not Available,2016
EDWARDS,Municipal,K-12 School,28 Walker St.,02129,81668,60.3,90,,K-12 School,1932,300.5,3.7,4921100,18%,82%,,,,Not Available,2016
EEC EAST BOSTON,Municipal,K-12 School,135 Gove St.,02128,36400,63,75,,K-12 School,1998,162.9,4.5,2294407,41%,59%,,,,Not Available,2016
EEC MATTAPAN,Municipal,K-12 School,108 Babson St.,02126,36820,68.4,70,,K-12 School,1998,176,4.8,2520273,38%,62%,,,,Not Available,2016
EEC ROXBURY,Municipal,K-12 School,263 Blue Hill Ave.,02119,35000,84.5,57,,K-12 School,1998,198.5,5.7,2958773,32%,68%,,,,Not Available,2016
EGLESTON,Municipal,K-12 School,3134 Wasington St,02130,30000,5.7,100,,K-12 School,1978,16.5,0.5,170054,100%,,,,,Not Available,2016
Egleston Branch,Municipal,Library,2044 Columbus Ave,02119,6000,101,Not Available,,Library,2000,40.7,6.8,606196,32%,68%,,,,Not Available,2016
Egleston Crossing,Yes,Multifamily Housing,3033 Washington Street,02119,95127,52.5,80,,Multifamily Housing Parking,2005,350.0,3.7,4997591,39%,61%,,46.5,,11010050001101282000,"2015, 2016"
Eleven West,Yes,Multifamily Housing,11 West Broadway,02127,108163,15.6,100,,Multifamily Housing Other - Restaurant/Bar Parking,2013,112.2,1.0,1682910,31%,69%,,23.7,,0600055010 060006100,"2015, 2016"
ELIOT,Municipal,K-12 School,18 Charter St.,02113,34603,54.4,95,,K-12 School,1932,117.3,3.4,1881222,21%,79%,,,,Not Available,2016
ELLIS,Municipal,K-12 School,302 Walnut Ave.,02119,51123,56.8,95,,K-12 School,1932,173.4,3.4,2906108,15%,85%,,,,Not Available,2016
Ellsworth Supply,Yes,Non-Refrigerated Warehouse,1334 Dorchester Ave,02122,38833,10.9,86,,Non-Refrigerated Warehouse,1975,37.4,1.0,421778,64%,,,1.0,,Not Available,2016
Embassy Suites Boston Logan Airport,Yes,Hotel,207 Porter Street,02128,488000,44.8,96,,Hotel Parking,2003,1586.4,3.3,21839798,45%,55%,,15.0,,Not Available,2016
EMERSON,Municipal,K-12 School,6 Shirley St.,02119,23320,74.8,83,,K-12 School,1924,109.7,4.7,1743671,22%,78%,,,,Not Available,2016
Emerson Place,Yes,Multifamily Housing,5 Longfellow Place,02114,509460,79.9,33,,Multifamily Housing,1962,2804.0,5.5,40729234,36%,64%,,30.1,,0300449000,"2015, 2016"
Emmanuel Church,Yes,Worship Facility,15 Newbury Street,02116,43779,47878.2,1,,Worship Facility,1861,139186.0,3179.3,2096060855,0%,,100%,13.3,,0501198000,2016
Engine 02,Municipal,Fire Station,700 East Fourth St,02127,14040,100.7,Not Available,,Fire Station,2000,89.1,6.3,1413289,23%,77%,,,,Not Available,2016
Engine 03,Municipal,Fire Station,618 Harrison Ave,02111,6000,131.7,Not Available,,Fire Station,2000,49.7,8.3,790277,22%,78%,,,,Not Available,2016
Engine 04,Municipal,Fire Station,200 Cambridge St,02129,18150,84.6,Not Available,,Fire Station,2000,99.1,5.5,1534770,26%,74%,,,,Not Available,2016
Engine 05,Municipal,Fire Station,360 Saratoga St,02128,10080,125.9,Not Available,,Fire Station,2000,79.1,7.8,1268618,21%,79%,,,,Not Available,2016
Engine 07,Municipal,Fire Station,200 Columbus Ave,02116,11376,108.4,Not Available,,Fire Station,2000,117.3,10.3,1233584,96%,4%,,,,Not Available,2016
Engine 08,Municipal,Fire Station,392 Hanover St,02109,9926,172.5,Not Available,,Fire Station,2000,104.1,10.5,1712466,18%,82%,,,,Not Available,2016
Engine 09,Municipal,Fire Station,239 Sumner St,02128,18836,120.9,Not Available,,Fire Station,2000,151,8,2276643,30%,70%,,,,Not Available,2016
Engine 10,Municipal,Fire Station,125 Purchase St,02110,30052,133.7,Not Available,,Fire Station,2000,283.8,9.4,4019444,40%,60%,,,,Not Available,"2014, 2015, 2016"
Engine 14,Municipal,Fire Station,174 Dudley St,02119,13200,134.8,Not Available,,Fire Station,2000,120.8,9.1,1779567,34%,66%,,,,Not Available,2016
Engine 16,Municipal,Fire Station,9 Gallivan Boulevard,02124,18060,47.4,Not Available,,Fire Station,2000,59.1,3.3,856776,36%,64%,,,,Not Available,2016
Engine 17,Municipal,Fire Station,7 Parish St,02122,10008,136.8,Not Available,,Fire Station,2000,84.4,8.4,1369478,20%,80%,,,,Not Available,2016
Engine 18,Municipal,Fire Station,1884 Dorchester Ave,02124,10800,63.3,Not Available,,Fire Station,2000,47.5,4.4,683110,29%,53%,,,,Not Available,2016
Engine 20,Municipal,Fire Station,301 Neponset Ave,02122,12000,97,Not Available,,Fire Station,2000,71.7,6,1164357,19%,81%,,,,Not Available,2016
Engine 21,Municipal,Fire Station,641 Columbia Rd,02125,12000,84.2,Not Available,,Fire Station,2000,60,5,1010300,14%,86%,,,,Not Available,2016
Engine 22,Municipal,Fire Station,700 Tremont St,02118,10500,41,Not Available,,Fire Station,2000,35.7,3.4,430623,68%,32%,,,,Not Available,2016
Engine 24,Municipal,Fire Station,36 Washington St,02121,12600,114.3,Not Available,,Fire Station,2000,92.7,7.4,1440722,26%,74%,,,,Not Available,2016
Engine 28,Municipal,Fire Station,746 Centre St,02119,13424,87.6,Not Available,,Fire Station,2000,80.2,6,1176056,35%,65%,,,,Not Available,2016
Engine 29,Municipal,Fire Station,138 Chestnut Hill Ave,02135,11292,135.7,Not Available,,Fire Station,2000,94.9,8.4,1532421,20%,80%,,,,Not Available,2016
Engine 30,Municipal,Fire Station,1940 Centre St,02132,9600,115.2,Not Available,,Fire Station,2000,72,7.5,1105498,28%,72%,,,,Not Available,2016
Engine 32,Municipal,Fire Station,525 Main St,02129,10914,137.7,Not Available,,Fire Station,2000,98.3,9,1502680,28%,72%,,,,Not Available,2016
Engine 33,Municipal,Fire Station,941 Boylston St,02115,11580,126.3,Not Available,,Fire Station,2000,113.5,9.8,1462941,26%,12%,,,,Not Available,2016
Engine 37,Municipal,Fire Station,560 Huntington Ave,02115,15824,106.5,Not Available,,Fire Station,2000,101.7,6.4,1684757,17%,83%,,,,Not Available,2016
Engine 39,Municipal,Fire Station,272 D Street,02127,15640,97.8,Not Available,,Fire Station,2000,101.7,6.5,1529045,31%,69%,,,,Not Available,2016
Engine 41,Municipal,Fire Station,460 Cambridge St,02134,12696,141.5,Not Available,,Fire Station,2000,124.1,9.8,1796078,37%,63%,,,,Not Available,2016
Engine 42,Municipal,Fire Station,1870 Columbus Ave,02119,10384,115.5,Not Available,,Fire Station,2000,77,7.4,1199569,25%,75%,,,,Not Available,2016
Engine 48,Municipal,Fire Station,60 Fairmount Ave,02136,16062,89.2,Not Available,,Fire Station,2000,93.1,5.8,1432923,27%,73%,,,,Not Available,2016
Engine 49,Municipal,Fire Station,209 Neponset Valley Parkway,02122,6750,80.5,Not Available,,Fire Station,2000,35.6,5.3,543171,29%,71%,,,,Not Available,2016
Engine 50,Municipal,Fire Station,34 Winthrop St,02129,12000,65,Not Available,,Fire Station,2000,51,4.2,779994,28%,72%,,,,Not Available,2016
Engine 51,Municipal,Fire Station,425 Faneuil St,02135,8550,121.9,Not Available,,Fire Station,2000,64.6,7.6,1042153,20%,80%,,,,Not Available,2016
Engine 52,Municipal,Fire Station,975 Blue Hill Ave,02124,7760,230.8,Not Available,,Fire Station,2000,115,14.8,1790751,25%,75%,,,,Not Available,2016
Engine 53,Municipal,Fire Station,945 Canterbury St,02131,18644,90.2,Not Available,,Fire Station,2000,109.3,5.9,1681773,27%,73%,,,,Not Available,2016
Engine 54,Municipal,Fire Station,Long Island Road,02169,5000,Not Available,Not Available,,Fire Station,2000,0,0,Not Available,,,,,,Not Available,2016
Engine 55,Municipal,Fire Station,5115 WASHINGTON ST,02132,17912,60.2,Not Available,,Fire Station,2000,71.7,4,1077428,31%,69%,,,,Not Available,2016
Engine 56,Municipal,Fire Station,1 Ashley St,02128,6844,156.8,Not Available,,Fire Station,2000,65.9,9.6,1073128,19%,81%,,,,Not Available,2016
English HS,Municipal,K-12 School,144 McBride St.,02130,225560,103.9,44,,K-12 School,1973,1335.6,5.9,23435829,9%,91%,,,,Not Available,2016
Erie-Ellington,Yes,Multifamily Housing,31 Erie Street,02121,55319,79,54,,Multifamily Housing Parking,1999,284.3,5.1,4367519,27%,73%,,92.1,,1401002010140181201014018150101401830001140183100014018530101402475010,"2015, 2016"
Esteves Hall,Yes,Residence Hall/Dormitory,45 Harvard Way,02163,78375,64.7,81,,Residence Hall/Dormitory,1969,394.4,5.0,5071572,37%,,63%,21.2,,2200530000,"2014, 2015, 2016"
Evans Hall,Yes,College/University,305 Brookline Avenue,02115,31900,99,Not Available,,College/University,1938,196.8,6.2,3157990,21%,79%,,39.1,,0402022000,"2015, 2016"
EVERETT,Municipal,K-12 School,71 Pleasant St.,02125,31410,63.4,93,,K-12 School,1909,120.3,3.8,1989880,17%,83%,,,,Not Available,2016
Evergreen Cemetery Administration Building,Municipal,Office,2060 Commonwealth Ave,02135,1800,88.6,Not Available,,Office,2000,1,0.6,159560,7%,,,,,Not Available,2016
Eversource Energy Mass Ave SC,Yes,Office,1165 Massachusetts Avenue,02125,238729,203.8,Not Available,,Office,1984,4122.9,17.3,48647258,73%,27%,,6.5,,Not Available,"2014, 2015, 2016"
Eversource Energy Sta 514,Yes,Energy/Power Station,75 Kingston Street ,02111,82353,Not Available,Not Available,,Energy/Power Station,1988,0.0,0.0,Not Available,,,,,,Not Available,"2014, 2015, 2016"
Eversource Energy Sta 53,Yes,Energy/Power Station,75 High Street,02110,60195,Not Available,Not Available,,Energy/Power Station,2000,0.0,0.0,Not Available,,,,0.1,,Not Available,2016
Eversource Energy Sta 71,Yes,Energy/Power Station,80-84 Warrenton Street,02116,40500,Not Available,Not Available,,Energy/Power Station,1945,0.0,0.0,Not Available,,,,1.0,,Not Available,2016
Exelon New Boston Station,Yes,Energy/Power Station,776 Summer Street,02127,261600,1.9,Not Available,,Energy/Power Station Parking,1898,47.1,0.2,486701,100%,,,5.1,,0603406000,"2014, 2015, 2016"
Exeter Theatre Corporation,Yes,Other - Education,26 Exeter Street,02116,46025,154.3,Not Available,,Office Other - Education Other - Restaurant/Bar,1899,483.1,10.5,7099708,34%,66%,,106.9,,0501376000,"2014, 2015, 2016"
Fairlawn Apartments,Yes,Multifamily Housing,15 Bismarck Street,02126,287748,74.4,97,,Multifamily Housing Parking,1968,1611.0,5.6,21415219,5%,,,59.4,,1801980000,"2015, 2016"
Fairmont Copley Plaza Boston,Yes,Hotel,138 St. James Ave.,02116,334522,143.6,23,,Hotel,1985,3413.1,10.2,48041918,41%,59%,,55.1,,0401087000,"2014, 2015, 2016"
Fairview Cemetery Administration Building,Municipal,Office,45 Fairview Ave,02136,2400,88.3,Not Available,,Office,2000,4.5,1.9,212028,22%,,,,,Not Available,2016
Family Justice Center,Municipal,Social/Meeting Hall,989 Commonwealth Ave,02215,35000,86.3,Not Available,,Social/Meeting Hall,2000,219,6.3,3021635,44%,56%,,,,Not Available,2016
Family Service Association of Greater Boston,Yes,Other,31 Heath Street,02130,39235,40.9,Not Available,,Other,1999,155.3,4.0,1605480,100%,,,5.5,,Not Available,2016
Faneuil Branch,Municipal,Library,319 Faneuil Street,02135,8072,85.9,Not Available,,Library,2000,44.1,5.5,693647,24%,76%,,,,Not Available,2016
Faneuil Hall,Municipal,Other - Mall,Faneuil Hall South Market St.,02109,28000,72.4,Not Available,,Other - Mall,2000,163.1,5.8,2028081,46%,,54%,,,Not Available,2016
FARRAGUT,Municipal,K-12 School,10 Fenwood Rd.,02115,35055,47.9,97,,K-12 School,1904,106.2,3,1679233,23%,77%,,,,Not Available,2016
FEC,Yes,Manufacturing/Industrial Plant,71 Von Hillern Street,02125,45565,85.4,Not Available,,Manufacturing/Industrial,1910,270.5,5.9,3892161,20%,44%,,2.0,,Not Available,2016
Federal Express Building,Yes,Distribution Center,775 Summer Street,02109,97000,Not Available,Not Available,,Distribution Center Office,1995,Not Available,Not Available,Not Available,,,,,,0603405000,"2015, 2016"
Feldberg Garage,Yes,Parking,340 Brookline Ave,02115,159333,4.7,Not Available,,Parking,1975,69.6,0.4,745904,100%,,,,,Not Available,"2014, 2015, 2016"
Fenmore Condominium,Yes,Multifamily Housing,"1109-1111 Boylston Street, 50, 52, 56, 60 and 64 Charlesgate East",02215,107517,123.3,57,,Multifamily Housing,1930,779.7,7.3,13253988,13%,87%,,76.4,,504165000,"2015, 2016"
Fens Stadium,Municipal,Other,Parkdrath St Fld,02215,1000,298.7,Not Available,,Other,2000,28.9,28.9,298724,100%,,,,,Not Available,2016
Fenway By The Park Condominium,Yes,Multifamily Housing,125-131 Park Drive,02215,49150,110.2,62,,Multifamily Housing,1950,319.7,6.5,5414323,14%,86%,,49.3,,0504275000,"2015, 2016"
Fenway Park,Yes,Stadium (Open),4 Yawkey Way,02215,610000,121.8,Not Available,,Stadium (Open),1912,6096.8,10.0,74289629,66%,34%,,44.2,,Not Available,"2014, 2015, 2016"
Fenway Triangle Trilogy,Yes,Multifamily Housing,180 Brookline Ave,02115,469608,131.9,Not Available,,Bank Branch Food Sales Multifamily Housing Office Parking Retail Store,2006,4474.0,9.5,61940697,44%,56%,,49.9,,2100051014,"2015, 2016"
Fenway Views Condominium,Yes,Multifamily Housing,"104, 106 &108 Peterborough Street, 51-67 Kilmarnock Street",02215,43281,94,59,,Multifamily Housing Parking,1990,261.0,6.0,4067174,25%,75%,,75.8,,2100033010,"2015, 2016"
Fiber Building,Yes,Manufacturing/Industrial Plant,490 R Rutherford Ave,02129,66241,Not Available,Not Available,,Manufacturing/Industrial,1965,Not Available,Not Available,Not Available,,,,,,0202162080,"2014, 2015, 2016"
Field Corp - 1940 and 1950 Commonwealth,Yes,Multifamily Housing,1940-1950 Commonwealth Avenue,02135,60500,Not Available,Not Available,,Multifamily Housing,1912,Not Available,0.0,Not Available,,,,25.2,,Not Available,"2015, 2016"
"Field Corp 81,85,89 Strathmore Road",Yes,Multifamily Housing,"81,85 and 89 Strathmore Road",02135,51400,Not Available,Not Available,,Multifamily Housing,1912,Not Available,0.0,Not Available,,,,43.5,,Not Available,"2015, 2016"
Field Support Unit,Municipal,Police Station,170 HANCOCK ST,02125,7200,95.4,Not Available,,Police Station,2007,49.2,6.8,686902,42%,58%,,,,Not Available,2016
Fields Corner Branch,Municipal,Library,1520 Dorcheter Ave,02122,8410,65.5,Not Available,,Library,2000,53.3,6.3,550762,100%,,,,,Not Available,2016
FIFIELD,Municipal,K-12 School,20 Dunbar,02115,31654,59.1,96,,K-12 School,1916,111.3,3.5,1872002,14%,86%,,,,Not Available,2016
Finland Building,Municipal,Urgent Care/Clinic/Other Outpatient,754 Albany Street,02118,97268,79.6,Not Available,,Urgent Care/Clinic/Outpatient,2000,749.4,7.7,7746127,100%,,,,,Not Available,2016
Fire Academy Burn Building,Municipal,Fire Station,MOON-ISLAND ST,02169,2100,Not Available,Not Available,,Fire Station,2005,0,0,Not Available,,,,,,Not Available,2016
Fire Alarm,Municipal,Fire Station,59 Fenway,02115,13040,274.5,Not Available,,Fire Station,2000,260.3,20,3579880,45%,55%,,,,Not Available,2016
First Church in Boston,Yes,Other - Entertainment/Public Assembly,66 Marlborough St.,02116,35776,77.9,Not Available,,Other - Entertainment/Public Assembly Parking,1972,173.2,4.8,2785945,21%,79%,,9.6,,Not Available,2016
Five Hundred Boylston Street,Yes,Office,500 Boylston St.,02116,744169,57.6,83,,Office Parking,1987,4148.5,5.6,42880492,100%,,,15.9,,0401092000,"2014, 2015, 2016"
Flagship Wharf Condominium: 197 8th Street,Yes,Multifamily Housing,197 8th Street,02129,450000,26.6,88,,Multifamily Housing,1989,1113.8,2.5,11986504,91%,9%,,21.5,,0203505100,"2015, 2016"
Flaherty Pool,Municipal,Other - Recreation,160 Florence St,02131,15000,338.9,Not Available,,Other - Recreation,2000,335.2,22.3,5083148,29%,71%,,,,Not Available,2016
Flats on D,Yes,Multifamily Housing,411 D Street,02210,237984,71.5,Not Available,,Multifamily Housing Retail Store,2014,1345.3,5.7,17014618,59%,41%,,11.6,,0602842000,"2015, 2016"
Florence Apartments,Yes,Multifamily Housing,"84-90, 92-106, 108-130, 132-154, 156-166 Fawndale Road",02131,145643,76.2,98,,Multifamily Housing,1968,596.6,4.1,11092362,2%,98%,,83.1,,1903232000,"2015, 2016"
FOLIOBOSTON CONDOMINIUM TRUST,Yes,Multifamily Housing,80 Broad Street,02110,323789,41.5,97,,Multifamily Housing,2006,846.8,2.6,13446483,23%,77%,,11.5,,0303990010,"2015, 2016"
Forestvale Apartments,Yes,Multifamily Housing,"107-113 Forest Hills Street, 115-121 Forest Hills Street, 123-127 Forest Hills Street",02130,98205,81.1,89,,Multifamily Housing,1964,458.1,4.7,7963533,10%,90%,,7743.5,,1102906000,"2015, 2016"
Fort Point Place,Yes,Multifamily Housing,21 Wormwood Street,02210,100000,63,32,,Multifamily Housing,2000,511.9,5.1,6304060,64%,36%,,31.5,,0602753010,"2015, 2016"
Fortress-Boston Corporation,Yes,Self-Storage Facility,83 105 Boston St,02125,43104,61,Not Available,,Self-Storage Facility,1988,222.1,5.2,2630959,72%,28%,,1.4,,Not Available,2016
Four Seasons Place - Hotel/Condo Management,Yes,Hotel,200/220 Boylston Street,02116,798170,65.2,52,,Hotel Multifamily Housing Parking,1980,4267.6,5.3,52024539,59%,17%,24%,24.9,,0501185000,"2014, 2015, 2016"
FP 3,Yes,Multifamily Housing,346 Congress St,02210,93300,171.2,1,,Multifamily Housing,1996,1152.1,12.3,15976150,44%,56%,,3.9,,0602655010,"2015, 2016"
Franciscan Monastery of St Clare,Yes,Other - Lodging/Residential,920 Centre St,02130,60000,55.6,Not Available,,Other - Lodging/Residential Parking,1906,246.9,4.1,3337610,10%,12%,,7.2,,Not Available,"2014, 2015, 2016"
Franklin Highlands,Yes,Multifamily Housing,124 Ruthven Street,02121,324397,68.1,79,,Multifamily Housing,2001,1350.4,4.2,22096931,18%,82%,,43.5,,1202220000,"2015, 2016"
Franklin Hill Corp PH1,Yes,Multifamily Housing,1 Shandon Road,02124,277643,11.6,100,,Multifamily Housing,1900,229.5,0.8,3223732,41%,59%,,1.9,,1404238010,"2015, 2016"
Franklin Park Greenhouse,Municipal,Other,190 Morton Street,02130,25000,267.3,Not Available,,Other,2000,376.5,15.1,6683158,4%,89%,,,,Not Available,2016
Franklin Park Maintenance Shed,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,02131,3600,9,Not Available,,Repair Services,1905,3.1,0.9,32417,100%,,,,,Not Available,2016
Franklin Park Ranger Office,Municipal,Office,Morton St and Canterbury St,02131,1400,153.4,Not Available,,Office,1905,20.8,14.8,214772,100%,,,,,Not Available,2016
Franklin Park Ranger Stables,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,02131,4500,26.4,Not Available,,Repair Services,1905,11.5,2.6,118939,100%,,,,,Not Available,2016
Franklin Park Trades Office,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,02131,10000,113.3,Not Available,,Repair Services,1905,109.6,11,1132784,100%,,,,,Not Available,2016
Franklin Square Apartments,Yes,Multifamily Housing,11 East Newton Street,02118,193816,79.9,70,,Multifamily Housing,1867,937.4,4.8,15488807,17%,83%,,35.5,,0801385002,"2015, 2016"
FULLER,Municipal,K-12 School,25 Glen Rd.,02130,19887,76.6,90,,K-12 School,1892,90.1,4.5,1523076,14%,86%,,,,Not Available,2016
Fulton Court Condominium Trust,Yes,Multifamily Housing,100 Fulton Street,02109,100800,8.3,100,,Multifamily Housing,1990,80.5,0.8,832334,100%,,,19.4,,0303478000,"2015, 2016"
Gallatin Hall,Yes,Residence Hall/Dormitory,24 Harvard Way,02163,50956,59.2,81,,Residence Hall/Dormitory,1926,241.2,4.7,3017118,45%,,55%,21.8,,2200530000,"2014, 2015, 2016"
Gallivan Community Center,Municipal,Other - Recreation,61 Woodruff Way,02126,10400,90.6,Not Available,,Other - Recreation,2000,61,5.9,942004,27%,73%,,,,Not Available,2016
Garage at Post Office Square,Yes,Parking,Zero Post Office Square,02109,50000,60,Not Available,,Other - Recreation Parking,1990,290.3,5.8,3000619,100%,,,26.7,,0304163000,"2014, 2015, 2016"
GARDNER,Municipal,K-12 School,30 Athol,02134,59196,57.4,94,,K-12 School,1906,204.2,3.4,3397886,16%,84%,,,,Not Available,2016
GARFIELD,Municipal,K-12 School,95 Beechcroft,02135,47314,59.3,95,,K-12 School,1925,165.9,3.5,2805103,14%,86%,,,,Not Available,2016
Garrison Condominium,Yes,Multifamily Housing,8 Garrison St,02116,73000,74.2,90,,Multifamily Housing,1900,320.4,4.4,5413744,14%,86%,,45.7,,401011000,"2015, 2016"
Garrison Square,Yes,Multifamily Housing,32 Garrison Street,02116,115806,59,Not Available,,Multifamily Housing,1985,661.1,5.7,6833420,100%,,,,,0400972000,"2015, 2016"
Gatehouse 75,Yes,Multifamily Housing,75 W School St,02129,95087,82.4,12,,Multifamily Housing Parking,2013,629.5,6.6,7834954,62%,38%,,33.3,,0202360000,2016
GAVIN,Municipal,K-12 School,215 Dorchester,02127,108387,46.2,96,,K-12 School,1936,311.8,2.9,5005829,21%,79%,,,,Not Available,2016
Genesis House: 28 Wallingford Rd.,Yes,Multifamily Housing,28 Wallingford Rd.,02135,187656,69.5,64,,Multifamily Housing,1978,878.2,4.7,13049750,32%,68%,,51.5,,2102565020,"2015, 2016"
Geneva Apartments LLC,Yes,Multifamily Housing,231 - 1 Geneva Ave,02125,52350,103.6,54,,Multifamily Housing,2000,317.9,6.1,5421732,13%,87%,,77.9,,1401380000,2016
George Robert White Resource Center,Municipal,Other,26 Central Ave,02136,12300,Not Available,Not Available,,Other,2000,Not Available,Not Available,Not Available,,,,,,Not Available,2016
Glass Hall,Yes,Office,660 Soldiers Field Road,02163,7563,78.2,73,,Office,1926,43.5,5.8,591165,24%,,76%,21.7,,2200530000,"2014, 2015, 2016"
Goldenson,Yes,Laboratory,220 Longwood,02115,133445,226.6,Not Available,,Laboratory,1905,2187.5,16.4,30239215,31%,0%,45%,76.0,,0401882000,"2014, 2015, 2016"
Gordon Hall,Yes,Office,25 Shattuck St,02115,72877,147.6,3,,Office,1905,878.1,12.0,10755147,59%,,21%,6.9,,0401882000,"2014, 2015, 2016"
Gordon Track and Tennis Center,Yes,Race Track,69 North Harvard Street,02134,77058,37.7,Not Available,,Race Track,1977,214.8,2.8,2904327,25%,,75%,7.3,,2200533000,"2014, 2015, 2016"
Governor Apartments: 209 Kelton Street,Yes,Multifamily Housing,209 Kelton Street,02134,91557,58.6,87,,Multifamily Housing,1980,327.9,3.6,5361973,18%,82%,,37.9,,2101692000,"2015, 2016"
