Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,electricity,3.1400,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,natural gas,1.0500,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,electricity solar,1.0000,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,steam,1.2000,,,,,
,,,,,,,,,,,,,,,,,source:,https://portfoliomanager.zendesk.com/hc/en-us/articles/216670148-What-are-the-Site-to-Source-Conversion-Factors-,,,,,
E-13 Station,Municipal,Police Station,3347 Washington St,02130,14750,149.9,Not Available,,Police Station,2000,153.1,10.4,2210307.1,37%,63%,,,,,,Not Available,2016,#VALUE!
E-18 Station,Municipal,Police Station,1249 Hyde Park Ave,02136,23400,106.8,Not Available,,Police Station,2000,164.5,7,2499411.4,29%,71%,,,,,,Not Available,2016,#VALUE!
East Boston Branch,Municipal,Library,276 Meridian St,02128,9720,34.1,Not Available,,Library,2000,19.7,2,331637.8,15%,85%,,,,,,Not Available,2016,#VALUE!
EAST BOSTON HS,Municipal,K-12 School,86 White St.,02128,212505,73.4,73,,K-12 School,1926,924.7,4.4,15600394.2,14%,86%,,,,,,Not Available,2016,#VALUE!
East Boston Stadium,Municipal,Other,143 Porter St,02128,112500,8.9,Not Available,,Other,2000,83.3,0.7,1000981.3,86%,,,,,,,Not Available,2016,#VALUE!
East Canton,Yes,Multifamily Housing,79-109 East Canton St,02113," 55,936 ",108.3,84,,Multifamily Housing,1980,452.1,8.1," 6,055,882 ",7%,5%,,76.2,,,,0801213000,2016,1649016.6958
Economy Plumbing && Heating Supply Co,Yes,Distribution Center,875 Morton Street,02126," 65,000 ",39.5,Not Available,,Distribution Center,2007,184.1,2.8," 2,570,490 ",42%,58%,,5.5,,Plumbing & Heating Supply Company - Primarily used as a Warehouse storage and distribution with roughly only 10% used as offices. ,,4051719,"2014, 2015, 2016",4955391.3931
EDISON,Municipal,K-12 School,60 Glenmont Rd.,02135,100500,65.8,88,,K-12 School,1932,389.5,3.9,6608060.8,13%,87%,,,,,,Not Available,2016,#VALUE!
EDWARDS,Municipal,K-12 School,28 Walker St.,02129,81668,60.3,90,,K-12 School,1932,300.5,3.7,4921099.8,18%,82%,,,,,,Not Available,2016,#VALUE!
EEC EAST BOSTON,Municipal,K-12 School,135 Gove St.,02128,36400,63,75,,K-12 School,1998,162.9,4.5,2294407.2,41%,59%,,,,,,Not Available,2016,#VALUE!
EEC MATTAPAN,Municipal,K-12 School,108 Babson St.,02126,36820,68.4,70,,K-12 School,1998,176,4.8,2520272.9,38%,62%,,,,,,Not Available,2016,#VALUE!
EEC ROXBURY,Municipal,K-12 School,263 Blue Hill Ave.,02119,35000,84.5,57,,K-12 School,1998,198.5,5.7,2958772.5,32%,68%,,,,,,Not Available,2016,#VALUE!
EGLESTON,Municipal,K-12 School,3134 Wasington St,02130,30000,5.7,100,,K-12 School,1978,16.5,0.5,170054.1,100%,,,,,,,Not Available,2016,#VALUE!
Egleston Branch,Municipal,Library,2044 Columbus Ave,02119,6000,101,Not Available,,Library,2000,40.7,6.8,606196.1,32%,68%,,,,,,Not Available,2016,#VALUE!
Egleston Crossing,Yes,Multifamily Housing,3033 Washington Street,02119," 95,127 ",52.5,80,,"Multifamily Housing, Parking",2005,350.0,3.7," 4,997,591 ",39%,61%,,46.5,,,,11010050001101282000,"2015, 2016",9321006.9741
Eleven West,Yes,Multifamily Housing,11 West Broadway,02127," 108,163 ",15.6,100,,"Multifamily Housing, Other - Restaurant/Bar, Parking",2013,112.2,1.0," 1,682,910 ",31%,69%,,23.7,,Property has an average monthly occupancy of 90% for 2015,,0600055010 060006100,"2015, 2016",2857412.0401
ELIOT,Municipal,K-12 School,18 Charter St.,02113,34603,54.4,95,,K-12 School,1932,117.3,3.4,1881221.9,21%,79%,,,,,,Not Available,2016,#VALUE!
ELLIS,Municipal,K-12 School,302 Walnut Ave.,02119,51123,56.8,95,,K-12 School,1932,173.4,3.4,2906107.5,15%,85%,,,,,,Not Available,2016,#VALUE!
Ellsworth Supply,Yes,Non-Refrigerated Warehouse,1334 Dorchester Ave,02122," 38,833 ",10.9,86,,Non-Refrigerated Warehouse,1975,37.4,1.0," 421,778 ",64%,,,1.0,,,,Not Available,2016,847604.8678
Embassy Suites Boston Logan Airport,Yes,Hotel,207 Porter Street,02128,488000,44.8,96,,"Hotel, Parking",2003,1586.4,3.3,21839798,45%,55%,,15.0,,City of Boston parcel ID 0104102000.  167 Cottage St/ 207 Porter St. East Boston,,Not Available,2016,43472117.9190
EMERSON,Municipal,K-12 School,6 Shirley St.,02119,23320,74.8,83,,K-12 School,1924,109.7,4.7,1743670.7,22%,78%,,,,,,Not Available,2016,#VALUE!
Emerson Place,Yes,Multifamily Housing,5 Longfellow Place,02114," 509,460 ",79.9,33,,Multifamily Housing,1962,2804.0,5.5," 40,729,234 ",36%,64%,,30.1,,"2014-1)  Assessor's address is 1 25 Emerson Pl.
2014-2)  Commercial is 3% of total bldg sq ft so did not break out as separate use.  No ind space is over 5,000 sq ft.",,0300449000,"2015, 2016",73410372.0826
Emmanuel Church,Yes,Worship Facility,15 Newbury Street,02116," 43,779 ",47878.2,1,,Worship Facility,1861,139186.0,3179.3," 2,096,060,855 ",0%,,100%,13.3,,,,0501198000,2016,2515273025.5200
Engine 02,Municipal,Fire Station,700 East Fourth St,02127,14040,100.7,Not Available,,Fire Station,2000,89.1,6.3,1413289.1,23%,77%,,,,,,Not Available,2016,#VALUE!
Engine 03,Municipal,Fire Station,618 Harrison Ave,02111,6000,131.7,Not Available,,Fire Station,2000,49.7,8.3,790276.6,22%,78%,,,,,,Not Available,2016,#VALUE!
Engine 04,Municipal,Fire Station,200 Cambridge St,02129,18150,84.6,Not Available,,Fire Station,2000,99.1,5.5,1534770.1,26%,74%,,,,,,Not Available,2016,#VALUE!
Engine 05,Municipal,Fire Station,360 Saratoga St,02128,10080,125.9,Not Available,,Fire Station,2000,79.1,7.8,1268617.6,21%,79%,,,,,,Not Available,2016,#VALUE!
Engine 07,Municipal,Fire Station,200 Columbus Ave,02116,11376,108.4,Not Available,,Fire Station,2000,117.3,10.3,1233584.2,96%,4%,,,,,,Not Available,2016,#VALUE!
Engine 08,Municipal,Fire Station,392 Hanover St,02109,9926,172.5,Not Available,,Fire Station,2000,104.1,10.5,1712465.5,18%,82%,,,,,,Not Available,2016,#VALUE!
Engine 09,Municipal,Fire Station,239 Sumner St,02128,18836,120.9,Not Available,,Fire Station,2000,151,8,2276643,30%,70%,,,,,,Not Available,2016,#VALUE!
Engine 10,Municipal,Fire Station,125 Purchase St,02110,30052,133.7,Not Available,,Fire Station,2000,283.8,9.4,4019443.6,40%,60%,,,,,,Not Available,"2014, 2015, 2016",#VALUE!
Engine 14,Municipal,Fire Station,174 Dudley St,02119,13200,134.8,Not Available,,Fire Station,2000,120.8,9.1,1779567.4,34%,66%,,,,,,Not Available,2016,#VALUE!
Engine 16,Municipal,Fire Station,9 Gallivan Boulevard,02124,18060,47.4,Not Available,,Fire Station,2000,59.1,3.3,856775.7,36%,64%,,,,,,Not Available,2016,#VALUE!
Engine 17,Municipal,Fire Station,7 Parish St,02122,10008,136.8,Not Available,,Fire Station,2000,84.4,8.4,1369478.2,20%,80%,,,,,,Not Available,2016,#VALUE!
Engine 18,Municipal,Fire Station,1884 Dorchester Ave,02124,10800,63.3,Not Available,,Fire Station,2000,47.5,4.4,683109.9,29%,53%,,,,,,Not Available,2016,#VALUE!
Engine 20,Municipal,Fire Station,301 Neponset Ave,02122,12000,97,Not Available,,Fire Station,2000,71.7,6,1164356.8,19%,81%,,,,,,Not Available,2016,#VALUE!
Engine 21,Municipal,Fire Station,641 Columbia Rd,02125,12000,84.2,Not Available,,Fire Station,2000,60,5,1010300,14%,86%,,,,,,Not Available,2016,#VALUE!
Engine 22,Municipal,Fire Station,700 Tremont St,02118,10500,41,Not Available,,Fire Station,2000,35.7,3.4,430622.6,68%,32%,,,,,,Not Available,2016,#VALUE!
Engine 24,Municipal,Fire Station,36 Washington St,02121,12600,114.3,Not Available,,Fire Station,2000,92.7,7.4,1440722,26%,74%,,,,,,Not Available,2016,#VALUE!
Engine 28,Municipal,Fire Station,746 Centre St,02119,13424,87.6,Not Available,,Fire Station,2000,80.2,6,1176056.3,35%,65%,,,,,,Not Available,2016,#VALUE!
Engine 29,Municipal,Fire Station,138 Chestnut Hill Ave,02135,11292,135.7,Not Available,,Fire Station,2000,94.9,8.4,1532421.4,20%,80%,,,,,,Not Available,2016,#VALUE!
Engine 30,Municipal,Fire Station,1940 Centre St,02132,9600,115.2,Not Available,,Fire Station,2000,72,7.5,1105498.4,28%,72%,,,,,,Not Available,2016,#VALUE!
Engine 32,Municipal,Fire Station,525 Main St,02129,10914,137.7,Not Available,,Fire Station,2000,98.3,9,1502679.9,28%,72%,,,,,,Not Available,2016,#VALUE!
Engine 33,Municipal,Fire Station,941 Boylston St,02115,11580,126.3,Not Available,,Fire Station,2000,113.5,9.8,1462941.3,26%,12%,,,,,,Not Available,2016,#VALUE!
Engine 37,Municipal,Fire Station,560 Huntington Ave,02115,15824,106.5,Not Available,,Fire Station,2000,101.7,6.4,1684757.2,17%,83%,,,,,,Not Available,2016,#VALUE!
Engine 39,Municipal,Fire Station,272 D Street,02127,15640,97.8,Not Available,,Fire Station,2000,101.7,6.5,1529045.3,31%,69%,,,,,,Not Available,2016,#VALUE!
Engine 41,Municipal,Fire Station,460 Cambridge St,02134,12696,141.5,Not Available,,Fire Station,2000,124.1,9.8,1796078.2,37%,63%,,,,,,Not Available,2016,#VALUE!
Engine 42,Municipal,Fire Station,1870 Columbus Ave,02119,10384,115.5,Not Available,,Fire Station,2000,77,7.4,1199568.8,25%,75%,,,,,,Not Available,2016,#VALUE!
Engine 48,Municipal,Fire Station,60 Fairmount Ave,02136,16062,89.2,Not Available,,Fire Station,2000,93.1,5.8,1432923.4,27%,73%,,,,,,Not Available,2016,#VALUE!
Engine 49,Municipal,Fire Station,209 Neponset Valley Parkway,02122,6750,80.5,Not Available,,Fire Station,2000,35.6,5.3,543171,29%,71%,,,,,,Not Available,2016,#VALUE!
Engine 50,Municipal,Fire Station,34 Winthrop St,02129,12000,65,Not Available,,Fire Station,2000,51,4.2,779994.2,28%,72%,,,,,,Not Available,2016,#VALUE!
Engine 51,Municipal,Fire Station,425 Faneuil St,02135,8550,121.9,Not Available,,Fire Station,2000,64.6,7.6,1042153.4,20%,80%,,,,,,Not Available,2016,#VALUE!
Engine 52,Municipal,Fire Station,975 Blue Hill Ave,02124,7760,230.8,Not Available,,Fire Station,2000,115,14.8,1790751.4,25%,75%,,,,,,Not Available,2016,#VALUE!
Engine 53,Municipal,Fire Station,945 Canterbury St,02131,18644,90.2,Not Available,,Fire Station,2000,109.3,5.9,1681772.6,27%,73%,,,,,,Not Available,2016,#VALUE!
Engine 54,Municipal,Fire Station,Long Island Road,02169,5000,Not Available,Not Available,,Fire Station,2000,0,0,Not Available,,,,,,,,Not Available,2016,#VALUE!
Engine 55,Municipal,Fire Station,5115 WASHINGTON ST,02132,17912,60.2,Not Available,,Fire Station,2000,71.7,4,1077427.5,31%,69%,,,,,,Not Available,2016,#VALUE!
Engine 56,Municipal,Fire Station,1 Ashley St,02128,6844,156.8,Not Available,,Fire Station,2000,65.9,9.6,1073128.2,19%,81%,,,,,,Not Available,2016,#VALUE!
English HS,Municipal,K-12 School,144 McBride St.,02130,225560,103.9,44,,K-12 School,1973,1335.6,5.9,23435829,9%,91%,,,,,,Not Available,2016,#VALUE!
Erie-Ellington,Yes,Multifamily Housing,31 Erie Street,02121," 55,319 ",79,54,,"Multifamily Housing, Parking",1999,284.3,5.1," 4,367,519 ",27%,73%,,92.1,,,,1401002010140181201014018150101401830001140183100014018530101402475010,"2015, 2016",7050486.5674
Esteves Hall,Yes,Residence Hall/Dormitory,45 Harvard Way,02163," 78,375 ",64.7,81,,Residence Hall/Dormitory,1969,394.4,5.0," 5,071,572 ",37%,,63%,21.2,,"Formerly called Baker Hall, a complete gut renovation took place from Feb 2014 to March 2015. This can account for the decreased or incomplete usages. The water had been shut off to the building in Feb 2014. The steam had also been shut off from June 2014 until Dec 2014.
Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 81% of the meter shared with McCollum. Allocation is by GSF.",,2200530000,"2014, 2015, 2016",9726261.5487
Evans Hall,Yes,College/University,305 Brookline Avenue,02115," 31,900 ",99,Not Available,,College/University,1938,196.8,6.2," 3,157,990 ",21%,79%,,39.1,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402022000,"2015, 2016",4701931.4599
EVERETT,Municipal,K-12 School,71 Pleasant St.,02125,31410,63.4,93,,K-12 School,1909,120.3,3.8,1989880,17%,83%,,,,,,Not Available,2016,#VALUE!
Evergreen Cemetery Administration Building,Municipal,Office,2060 Commonwealth Ave,02135,1800,88.6,Not Available,,Office,2000,1,0.6,159559.5,7%,,,,,,,Not Available,2016,#VALUE!
Eversource Energy Mass Ave SC,Yes,Office,1165 Massachusetts Avenue,02125," 238,729 ",203.8,Not Available,,Office,1984,4122.9,17.3," 48,647,258 ",73%,27%,,6.5,,,,Not Available,"2014, 2015, 2016",125300743.4609
Eversource Energy Sta 514,Yes,Energy/Power Station,75 Kingston Street ,02111," 82,353 ",Not Available,Not Available,,Energy/Power Station,1988,0.0,0.0, Not Available ,,,,,,,,Not Available,"2014, 2015, 2016",#VALUE!
Eversource Energy Sta 53,Yes,Energy/Power Station,75 High Street,02110," 60,195 ",Not Available,Not Available,,Energy/Power Station,2000,0.0,0.0, Not Available ,,,,0.1,,,,Not Available,2016,#VALUE!
Eversource Energy Sta 71,Yes,Energy/Power Station,80-84 Warrenton Street,02116," 40,500 ",Not Available,Not Available,,Energy/Power Station,1945,0.0,0.0, Not Available ,,,,1.0,,,,Not Available,2016,#VALUE!
Exelon New Boston Station,Yes,Energy/Power Station,776 Summer Street,02127," 261,600 ",1.9,Not Available,,"Energy/Power Station, Parking",1898,47.1,0.2," 486,701 ",100%,,,5.1,,"Parking square footage as reported only includes designated parking areas.   ""Informal"" parking may also occur elsewhere within the paved lot.  A portion of the property, including the main parking lot, was sold in mid-2015. ",,0603406000,"2014, 2015, 2016",1528240.8260
Exeter Theatre Corporation,Yes,Other - Education,26 Exeter Street,02116," 46,025 ",154.3,Not Available,,"Office, Other - Education, Other - Restaurant/Bar",1899,483.1,10.5," 7,099,708 ",34%,66%,,106.9,,,,0501376000,"2014, 2015, 2016",12499745.2006
Fairlawn Apartments,Yes,Multifamily Housing,15 Bismarck Street,02126," 287,748 ",74.4,97,,"Multifamily Housing, Parking",1968,1611.0,5.6," 21,415,219 ",5%,,,59.4,,"This property includes 347 apartments with 12 buildings & 1 office.
15 Bismarck St.
2 Bismarck St.
4 Bismarck St.
6 Bismarck St.
785 Cummins Hwhy
795 Cummins Hwhy
20 Fairlawn Ave.
30-32 Fairlawn Ave
40 Fairlawn Ave
50 Fairlawn Ave
60 - 62 Fairlawn Ave
70 Fairlawn Ave
80 Fairlawn Ave",,1801980000,"2015, 2016",3362189.3516
Fairmont Copley Plaza Boston,Yes,Hotel,138 St. James Ave.,02116," 334,522 ",143.6,23,,Hotel,1985,3413.1,10.2," 48,041,918 ",41%,59%,,55.1,,,,0401087000,"2014, 2015, 2016",91611133.0528
Fairview Cemetery Administration Building,Municipal,Office,45 Fairview Ave,02136,2400,88.3,Not Available,,Office,2000,4.5,1.9,212027.7,22%,,,,,,,Not Available,2016,#VALUE!
Family Justice Center,Municipal,Social/Meeting Hall,989 Commonwealth Ave,02215,35000,86.3,Not Available,,Social/Meeting Hall,2000,219,6.3,3021635,44%,56%,,,,,,Not Available,2016,#VALUE!
Family Service Association of Greater Boston,Yes,Other,31 Heath Street,02130," 39,235 ",40.9,Not Available,,Other,1999,155.3,4.0," 1,605,480 ",100%,,,5.5,,,,Not Available,2016,5041208.1420
Faneuil Branch,Municipal,Library,319 Faneuil Street,02135,8072,85.9,Not Available,,Library,2000,44.1,5.5,693647.1,24%,76%,,,,,,Not Available,2016,#VALUE!
Faneuil Hall,Municipal,Other - Mall,Faneuil Hall South Market St.,02109,28000,72.4,Not Available,,Other - Mall,2000,163.1,5.8,2028080.5,46%,,54%,,,,,Not Available,2016,#VALUE!
FARRAGUT,Municipal,K-12 School,10 Fenwood Rd.,02115,35055,47.9,97,,K-12 School,1904,106.2,3,1679232.9,23%,77%,,,,,,Not Available,2016,#VALUE!
FEC,Yes,Manufacturing/Industrial Plant,71 Von Hillern Street,02125,45565,85.4,Not Available,,Manufacturing/Industrial,1910,270.5,5.9,3892160.7,20%,44%,,2.0,,,,Not Available,2016,4242455.1630
Federal Express Building,Yes,Distribution Center,775 Summer Street,02109," 97,000 ",Not Available,Not Available,,"Distribution Center, Office",1995,Not Available,Not Available, Not Available ,,,,,,,,0603405000,"2015, 2016",#VALUE!
Feldberg Garage,Yes,Parking,340 Brookline Ave,02115," 159,333 ",4.7,Not Available,,Parking,1975,69.6,0.4," 745,904 ",100%,,,,,,,Not Available,"2014, 2015, 2016",2342138.8740
Fenmore Condominium,Yes,Multifamily Housing,"1109-1111 Boylston Street, 50, 52, 56, 60 and 64 Charlesgate East",02215," 107,517 ",123.3,57,,Multifamily Housing,1930,779.7,7.3," 13,253,988 ",13%,87%,,76.4,,,,504165000,"2015, 2016",17517796.0718
Fens Stadium,Municipal,Other,Parkdrath St Fld,02215,1000,298.7,Not Available,,Other,2000,28.9,28.9,298724,100%,,,,,,,Not Available,2016,#VALUE!
Fenway By The Park Condominium,Yes,Multifamily Housing,125-131 Park Drive,02215," 49,150 ",110.2,62,,Multifamily Housing,1950,319.7,6.5," 5,414,323 ",14%,86%,,49.3,,,,0504275000,"2015, 2016",7269270.0598
Fenway Park,Yes,Stadium (Open),4 Yawkey Way,02215," 610,000 ",121.8,Not Available,,Stadium (Open),1912,6096.8,10.0," 74,289,629 ",66%,34%,,44.2,,,,Not Available,"2014, 2015, 2016",180479225.1785
Fenway Triangle Trilogy,Yes,Multifamily Housing,180 Brookline Ave,02115," 469,608 ",131.9,Not Available,,"Bank Branch, Food Sales, Multifamily Housing, Office, Parking, Retail Store",2006,4474.0,9.5," 61,940,697 ",44%,56%,,49.9,,Parcel ID 2100051014,,2100051014,"2015, 2016",121998397.4021
Fenway Views Condominium,Yes,Multifamily Housing,"104, 106 &108 Peterborough Street, 51-67 Kilmarnock Street",02215," 43,281 ",94,59,,"Multifamily Housing, Parking",1990,261.0,6.0," 4,067,174 ",25%,75%,,75.8,,,,2100033010,"2015, 2016",6395630.3288
Fiber Building,Yes,Manufacturing/Industrial Plant,490 R Rutherford Ave,02129," 66,241 ",Not Available,Not Available,,Manufacturing/Industrial,1965,Not Available,Not Available,Not Available,,,,,,,,0202162080,"2014, 2015, 2016",#VALUE!
Field Corp - 1940 and 1950 Commonwealth,Yes,Multifamily Housing,1940-1950 Commonwealth Avenue,02135," 60,500 ",Not Available,Not Available,,Multifamily Housing,1912,Not Available,0.0, Not Available ,,,,25.2,,,,Not Available,"2015, 2016",#VALUE!
"Field Corp 81,85,89 Strathmore Road",Yes,Multifamily Housing,"81,85 and 89 Strathmore Road",02135," 51,400 ",Not Available,Not Available,,Multifamily Housing,1912,Not Available,0.0, Not Available ,,,,43.5,,,,Not Available,"2015, 2016",#VALUE!
Field Support Unit,Municipal,Police Station,170 HANCOCK ST,02125,7200,95.4,Not Available,,Police Station,2007,49.2,6.8,686902.4,42%,58%,,,,,,Not Available,2016,#VALUE!
Fields Corner Branch,Municipal,Library,1520 Dorcheter Ave,02122,8410,65.5,Not Available,,Library,2000,53.3,6.3,550761.6,100%,,,,,,,Not Available,2016,#VALUE!
FIFIELD,Municipal,K-12 School,20 Dunbar,02115,31654,59.1,96,,K-12 School,1916,111.3,3.5,1872001.6,14%,86%,,,,,,Not Available,2016,#VALUE!
Finland Building,Municipal,Urgent Care/Clinic/Other Outpatient,754 Albany Street,02118,97268,79.6,Not Available,,Urgent Care/Clinic/Outpatient,2000,749.4,7.7,7746126.9,100%,,,,,,,Not Available,2016,#VALUE!
Fire Academy Burn Building,Municipal,Fire Station,MOON-ISLAND ST,02169,2100,Not Available,Not Available,,Fire Station,2005,0,0,Not Available,,,,,,,,Not Available,2016,#VALUE!
Fire Alarm,Municipal,Fire Station,59 Fenway,02115,13040,274.5,Not Available,,Fire Station,2000,260.3,20,3579880.3,45%,55%,,,,,,Not Available,2016,#VALUE!
First Church in Boston,Yes,Other - Entertainment/Public Assembly,66 Marlborough St.,02116," 35,776 ",77.9,Not Available,,"Other - Entertainment/Public Assembly, Parking",1972,173.2,4.8," 2,785,945 ",21%,79%,,9.6,,,,Not Available,2016,4147993.5105
Five Hundred Boylston Street,Yes,Office,500 Boylston St.,02116," 744,169 ",57.6,83,"2015, 2014, 2010, 2009, 2008, 2002, 2000","Office, Parking",1987,4148.5,5.6," 42,880,492 ",100%,,,15.9,,,,0401092000,"2014, 2015, 2016",134644744.8800
Flagship Wharf Condominium: 197 8th Street,Yes,Multifamily Housing,197 8th Street,02129," 450,000 ",26.6,88,,Multifamily Housing,1989,1113.8,2.5," 11,986,504 ",91%,9%,,21.5,,,,0203505100,"2015, 2016",35382960.2720
Flaherty Pool,Municipal,Other - Recreation,160 Florence St,02131,15000,338.9,Not Available,,Other - Recreation,2000,335.2,22.3,5083147.8,29%,71%,,,,,,Not Available,2016,#VALUE!
Flats on D,Yes,Multifamily Housing,411 D Street,02210," 237,984 ",71.5,Not Available,,"Multifamily Housing, Retail Store",2014,1345.3,5.7," 17,014,618 ",59%,41%,,11.6,,"0602842000
",,0602842000,"2015, 2016",38846074.1275
Florence Apartments,Yes,Multifamily Housing,"84-90, 92-106, 108-130, 132-154, 156-166 Fawndale Road",02131," 145,643 ",76.2,98,,Multifamily Housing,1968,596.6,4.1," 11,092,362 ",2%,98%,,83.1,,,,1903232000,"2015, 2016",12110640.8316
FOLIOBOSTON CONDOMINIUM TRUST,Yes,Multifamily Housing,80 Broad Street,02110," 323,789 ",41.5,97,,Multifamily Housing,2006,846.8,2.6," 13,446,483 ",23%,77%,,11.5,,,,0303990010,"2015, 2016",20582531.6812
Forestvale Apartments,Yes,Multifamily Housing,"107-113 Forest Hills Street, 115-121 Forest Hills Street, 123-127 Forest Hills Street",02130," 98,205 ",81.1,89,,Multifamily Housing,1964,458.1,4.7," 7,963,533 ",10%,90%,,7743.5,,,,1102906000,"2015, 2016",10026087.4175
Fort Point Place,Yes,Multifamily Housing,21 Wormwood Street,02210," 100,000 ",63,32,,Multifamily Housing,2000,511.9,5.1," 6,304,060 ",64%,36%,,31.5,,,,0602753010,"2015, 2016",15051572.7010
Fortress-Boston Corporation,Yes,Self-Storage Facility,83 105 Boston St,02125,43104,61,Not Available,,Self-Storage Facility,1988,222.1,5.2,2630959,72%,28%,,1.4,,,,Not Available,2016,6721574.0532
Four Seasons Place - Hotel/Condo Management,Yes,Hotel,200/220 Boylston Street,02116," 798,170 ",65.2,52,,"Hotel, Multifamily Housing, Parking",1980,4267.6,5.3," 52,024,539 ",59%,17%,24%,24.9,,"Four Seasons Place Assessing Parcel ID is  0501185000.  This benchmarking covers both hotel and condo properties as both are in the same building.

Gas - Direct Energy10073 is now Sprague Operating Resources LLC	79069000 effective 1/6/2015.  ",,0501185000,"2014, 2015, 2016",120650109.3225
FP 3,Yes,Multifamily Housing,346 Congress St,02210," 93,300 ",171.2,1,,Multifamily Housing,1996,1152.1,12.3," 15,976,150 ",44%,56%,,3.9,,,,0602655010,"2015, 2016",31466625.2370
Franciscan Monastery of St Clare,Yes,Other - Lodging/Residential,920 Centre St,02130," 60,000 ",55.6,Not Available,,"Other - Lodging/Residential, Parking",1906,246.9,4.1," 3,337,610 ",10%,12%,,7.2,,,,Not Available,"2014, 2015, 2016",1468548.4880
Franklin Highlands,Yes,Multifamily Housing,124 Ruthven Street,02121," 324,397 ",68.1,79,,Multifamily Housing,2001,1350.4,4.2,"22,096,931.2",18%,82%,,43.5,,"According to the city's 2015 Property List, Franklin Highland is classified as ""Multiple Buildings Totaling Over 100,000 SF or 100 Units - All Required to Report."" Multiple service addresses across one development, including: 124 RUTHVEN ST, 79 HUTCHINGS ST, 109 HOMESTEAD ST, 125 HOMESTEAD ST, 155 HOMESTEAD ST, 278 HUMBOLDT AV, 11 BROOKLEDGE ST, 45 BROOKLEDGE ST, 51 BROOKLEDGE ST, 63 BROOKLEDGE ST, 180 SEAVER ST, 162 SEAVER ST, 154 SEAVER ST, 148 SEAVER ST, 144 SEAVER ST, 32 SEAVER ST",,1202220000,"2015, 2016",31514643.2774
Franklin Hill Corp PH1,Yes,Multifamily Housing,1 Shandon Road,02124," 277,643 ",11.6,100,,Multifamily Housing,1900,229.5,0.8," 3,223,732 ",41%,59%,,1.9,,,,1404238010,"2015, 2016",6147335.3136
Franklin Park Greenhouse,Municipal,Other,190 Morton Street,02130,25000,267.3,Not Available,,Other,2000,376.5,15.1,6683157.7,4%,89%,,,,,,Not Available,2016,#VALUE!
Franklin Park Maintenance Shed,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,02131,3600,9,Not Available,,Repair Services,1905,3.1,0.9,32417.4,100%,,,,,,,Not Available,2016,#VALUE!
Franklin Park Ranger Office,Municipal,Office,Morton St and Canterbury St,02131,1400,153.4,Not Available,,Office,1905,20.8,14.8,214771.8,100%,,,,,,,Not Available,2016,#VALUE!
Franklin Park Ranger Stables,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,02131,4500,26.4,Not Available,,Repair Services,1905,11.5,2.6,118938.9,100%,,,,,,,Not Available,2016,#VALUE!
Franklin Park Trades Office,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,02131,10000,113.3,Not Available,,Repair Services,1905,109.6,11,1132784,100%,,,,,,,Not Available,2016,#VALUE!
Franklin Square Apartments,Yes,Multifamily Housing,11 East Newton Street,02118,193816,79.9,70,,Multifamily Housing,1867,937.4,4.8,15488807.3,17%,83%,,35.5,,,,0801385002,"2015, 2016",21766420.8987
FULLER,Municipal,K-12 School,25 Glen Rd.,02130,19887,76.6,90,,K-12 School,1892,90.1,4.5,1523075.8,14%,86%,,,,,,Not Available,2016,#VALUE!
Fulton Court Condominium Trust,Yes,Multifamily Housing,100 Fulton Street,02109," 100,800 ",8.3,100,,Multifamily Housing,1990,80.5,0.8," 832,334 ",100%,,,19.4,,,,0303478000,"2015, 2016",2613529.7020
Gallatin Hall,Yes,Residence Hall/Dormitory,24 Harvard Way,02163," 50,956 ",59.2,81,,Residence Hall/Dormitory,1926,241.2,4.7," 3,017,118 ",45%,,55%,21.8,,"Steam usage is allocated as 29% of the meter shared with Connell, Hamilton, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF. Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016",6254484.7848
Gallivan Community Center,Municipal,Other - Recreation,61 Woodruff Way,02126,10400,90.6,Not Available,,Other - Recreation,2000,61,5.9,942004.3,27%,73%,,,,,,Not Available,2016,#VALUE!
Garage at Post Office Square,Yes,Parking,Zero Post Office Square,02109," 50,000 ",60,Not Available,,"Other - Recreation, Parking",1990,290.3,5.8," 3,000,619 ",100%,,,26.7,,"assessing parcel 0304163000.   Parking Garage has restrooms which are open to the public 24 hours/7 days, accounting for a significant portion of water use.",,0304163000,"2014, 2015, 2016",9421944.9160
