Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),Tax Parcel,Years Reported, Total Source Energy (kBTU) ,Source EUI (kBTU/sf)
Five Hundred Boylston Street,Yes,Office,500 Boylston St.,2116,744169,57.6,83,,Office Parking,1987,4148.5,5.6,42880492,1,,,15.9,,401092000,2014 2015 2016,134644744.9,180.9330204
Flagship Wharf Condominium: 197 8th Street,Yes,Multifamily Housing,197 8th Street,2129,450000,26.6,88,,Multifamily Housing,1989,1113.8,2.5,11986504,0.91,0.09,,21.5,,203505100,2015 2016,35382961.16,78.62880257
Flaherty Pool,Municipal,Other - Recreation,160 Florence St,2131,15000,338.9,Not Available,,Other - Recreation,2000,335.2,22.3,5083148,0.29,0.71,,,,Not Available,2016,8418201.072,561.2134048
Flats on D,Yes,Multifamily Housing,411 D Street,2210,237984,71.5,Not Available,,Multifamily Housing Retail Store,2014,1345.3,5.7,17014618,0.59,0.41,,11.6,,602842000,2015 2016,38846074.36,163.2297732
Florence Apartments,Yes,Multifamily Housing,"84-90, 92-106, 108-130, 132-154, 156-166 Fawndale Road",2131,145643,76.2,98,,Multifamily Housing,1968,596.6,4.1,11092362,0.02,0.98,,83.1,,1903232000,2015 2016,12110640.83,83.15292071
FOLIOBOSTON CONDOMINIUM TRUST,Yes,Multifamily Housing,80 Broad Street,2110,323789,41.5,97,,Multifamily Housing,2006,846.8,2.6,13446483,0.23,0.77,,11.5,,303990010,2015 2016,20582531.53,63.56772938
Forestvale Apartments,Yes,Multifamily Housing,"107-113 Forest Hills Street, 115-121 Forest Hills Street, 123-127 Forest Hills Street",2130,98205,81.1,89,,Multifamily Housing,1964,458.1,4.7,7963533,0.1,0.9,,7743.5,,1102906000,2015 2016,10026088.05,102.093458
Fort Point Place,Yes,Multifamily Housing,21 Wormwood Street,2210,100000,63,32,,Multifamily Housing,2000,511.9,5.1,6304060,0.64,0.36,,31.5,,602753010,2015 2016,15051573.66,150.5157366
Fortress-Boston Corporation,Yes,Self-Storage Facility,83 105 Boston St,2125,43104,61,Not Available,,Self-Storage Facility,1988,222.1,5.2,2630959,0.72,0.28,,1.4,,Not Available,2016,6721574.053,155.938522
Four Seasons Place - Hotel/Condo Management,Yes,Hotel,200/220 Boylston Street,2116,798170,65.2,52,,Hotel Multifamily Housing Parking,1980,4267.6,5.3,52024539,0.59,0.17,0.24,24.9,,501185000,2014 2015 2016,120650108.4,151.1584104
FP 3,Yes,Multifamily Housing,346 Congress St,2210,93300,171.2,1,,Multifamily Housing,1996,1152.1,12.3,15976150,0.44,0.56,,3.9,,602655010,2015 2016,31466625.04,337.2628622
Franciscan Monastery of St Clare,Yes,Other - Lodging/Residential,920 Centre St,2130,60000,55.6,Not Available,,Other - Lodging/Residential Parking,1906,246.9,4.1,3337610,0.1,0.12,,7.2,,Not Available,2014 2015 2016,1468548.4,24.47580667
Franklin Highlands,Yes,Multifamily Housing,124 Ruthven Street,2121,324397,68.1,79,,Multifamily Housing,2001,1350.4,4.2,22096931,0.18,0.82,,43.5,,1202220000,2015 2016,31514643.28,97.14838077
Franklin Hill Corp PH1,Yes,Multifamily Housing,1 Shandon Road,2124,277643,11.6,100,,Multifamily Housing,1900,229.5,0.8,3223732,0.41,0.59,,1.9,,1404238010,2015 2016,6147334.551,22.14114727
Franklin Park Greenhouse,Municipal,Other,190 Morton Street,2130,25000,267.3,Not Available,,Other,2000,376.5,15.1,6683158,0.04,0.89,,,,Not Available,2016,7084815.478,283.3926191
Franklin Park Maintenance Shed,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,2131,3600,9,Not Available,,Repair Services,1905,3.1,0.9,32417,1,,,,,Not Available,2016,101790.636,28.27517667
Franklin Park Ranger Office,Municipal,Office,Morton St and Canterbury St,2131,1400,153.4,Not Available,,Office,1905,20.8,14.8,214772,1,,,,,Not Available,2016,674383.452,481.7024657
Franklin Park Ranger Stables,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,2131,4500,26.4,Not Available,,Repair Services,1905,11.5,2.6,118939,1,,,,,Not Available,2016,373468.146,82.99292133
Franklin Park Trades Office,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Morton St and Canterbury St,2131,10000,113.3,Not Available,,Repair Services,1905,109.6,11,1132784,1,,,,,Not Available,2016,3556941.76,355.694176
Franklin Square Apartments,Yes,Multifamily Housing,11 East Newton Street,2118,193816,79.9,70,,Multifamily Housing,1867,937.4,4.8,15488807,0.17,0.83,,35.5,,801385002,2015 2016,21766420.9,112.3045615
FULLER,Municipal,K-12 School,25 Glen Rd.,2130,19887,76.6,90,,K-12 School,1892,90.1,4.5,1523076,0.14,0.86,,,,Not Available,2016,2044881.569,102.8250399
Fulton Court Condominium Trust,Yes,Multifamily Housing,100 Fulton Street,2109,100800,8.3,100,,Multifamily Housing,1990,80.5,0.8,832334,1,,,19.4,,303478000,2015 2016,2613528.76,25.92786468
Gallatin Hall,Yes,Residence Hall/Dormitory,24 Harvard Way,2163,50956,59.2,81,,Residence Hall/Dormitory,1926,241.2,4.7,3017118,0.45,,0.55,21.8,,2200530000,2014 2015 2016,6254485.614,122.7428686
Gallivan Community Center,Municipal,Other - Recreation,61 Woodruff Way,2126,10400,90.6,Not Available,,Other - Recreation,2000,61,5.9,942004,0.27,0.73,,,,Not Available,2016,1520677.541,146.2189944
Garage at Post Office Square,Yes,Parking,Zero Post Office Square,2109,50000,60,Not Available,,Other - Recreation Parking,1990,290.3,5.8,3000619,1,,,26.7,,304163000,2014 2015 2016,9421943.66,188.4388732
GARDNER,Municipal,K-12 School,30 Athol,2134,59196,57.4,94,,K-12 School,1906,204.2,3.4,3397886,0.16,0.84,,,,Not Available,2016,4704032.825,79.46538321
GARFIELD,Municipal,K-12 School,95 Beechcroft,2135,47314,59.3,95,,K-12 School,1925,165.9,3.5,2805103,0.14,0.86,,,,Not Available,2016,3766131.422,79.59866894
Garrison Condominium,Yes,Multifamily Housing,8 Garrison St,2116,73000,74.2,90,,Multifamily Housing,1900,320.4,4.4,5413744,0.14,0.86,,45.7,,401011000,2015 2016,7268492.694,99.56839307
Garrison Square,Yes,Multifamily Housing,32 Garrison Street,2116,115806,59,Not Available,,Multifamily Housing,1985,661.1,5.7,6833420,1,,,,,400972000,2015 2016,21456938.8,185.283481
Gatehouse 75,Yes,Multifamily Housing,75 W School St,2129,95087,82.4,12,,Multifamily Housing Parking,2013,629.5,6.6,7834954,0.62,0.38,,33.3,,202360000,2016,18379235.09,193.2886209
GAVIN,Municipal,K-12 School,215 Dorchester,2127,108387,46.2,96,,K-12 School,1936,311.8,2.9,5005829,0.21,0.79,,,,Not Available,2016,7453179.394,68.76451414
Genesis House: 28 Wallingford Rd.,Yes,Multifamily Housing,28 Wallingford Rd.,2135,187656,69.5,64,,Multifamily Housing,1978,878.2,4.7,13049750,0.32,0.68,,51.5,,2102565020,2015 2016,22429910.3,119.526742
Geneva Apartments LLC,Yes,Multifamily Housing,231 - 1 Geneva Ave,2125,52350,103.6,54,,Multifamily Housing,2000,317.9,6.1,5421732,0.13,0.87,,77.9,,1401380000,2016,7165903.184,136.8844925
George Robert White Resource Center,Municipal,Other,26 Central Ave,2136,12300,Not Available,Not Available,,Other,2000,Not Available,Not Available,Not Available,,,,,,Not Available,2016,#VALUE!,#VALUE!
Glass Hall,Yes,Office,660 Soldiers Field Road,2163,7563,78.2,73,,Office,1926,43.5,5.8,591165,0.24,,0.76,21.7,,2200530000,2014 2015 2016,984644.424,130.1923078
Goldenson,Yes,Laboratory,220 Longwood,2115,133445,226.6,Not Available,,Laboratory,1905,2187.5,16.4,30239215,0.31,0,0.45,76,,401882000,2014 2015 2016,45764027.98,342.9429951
Gordon Hall,Yes,Office,25 Shattuck St,2115,72877,147.6,3,,Office,1905,878.1,12,10755147,0.59,,0.21,6.9,,401882000,2014 2015 2016,22635282.38,310.5956938
Gordon Track and Tennis Center,Yes,Race Track,69 North Harvard Street,2134,77058,37.7,Not Available,,Race Track,1977,214.8,2.8,2904327,0.25,,0.75,7.3,,2200533000,2014 2015 2016,4893790.995,63.5078901
Governor Apartments: 209 Kelton Street,Yes,Multifamily Housing,209 Kelton Street,2134,91557,58.6,87,,Multifamily Housing,1980,327.9,3.6,5361973,0.18,0.82,,37.9,,2101692000,2015 2016,7647245.893,83.52442623
Granite Lena Park,Yes,Multifamily Housing,754 Blue Hill Avenue,2121,115064,124.9,22,,Multifamily Housing,1920,875.5,7.6,14370941,0.18,0.82,,87.8,,14019450001401946000140251900014027710001402774000140278800014028230001405083000      1401933000,2015 2016,20495836.05,178.1255306
Grant Manor Apartments,Yes,Multifamily Housing,75 Federal Street 4th Floor,2110,152212,101.9,58,,Multifamily Housing,1900,944,6.2,15506538,0.18,0.82,,17.1,,801675000,2015 2016,22115424.5,145.2935675
Greater Boston Legal Services,Yes,Office,32 38 Anthony R Valenti Wy,2114,50400,56.7,85,,Office,1900,254.3,5,2858383,0.82,0.18,,11.8,,301592000,2014 2015 2016,7899998.935,156.7460106
Greenhill House,Yes,Office,40 Harvard Way,2163,5940,91.5,72,,Office,1965,38.2,6.4,543245,0.13,,0.87,29.6,,2200530000,2014 2015 2016,788900.389,132.8115133
GREENWOOD E,Municipal,K-12 School,612 METROPOLITAN AVE,2136,51128,36.8,100,,K-12 School,1957,114.7,2.2,1880067,0.18,0.82,,,,Not Available,2016,2681350.985,52.44388564
GREENWOOD S,Municipal,K-12 School,186 GLENWAY ST,2121,58452,51.5,97,,K-12 School,1925,182.2,3.1,3009783,0.17,0.83,,,,Not Available,2016,4229647.628,72.36104202
GREW,Municipal,K-12 School,40 Gordon Ave.,2136,32216,53.8,96,,K-12 School,1956,107.2,3.3,1732833,0.2,0.8,,,,Not Available,2016,2543799.431,78.96074718
GUILD,Municipal,K-12 School,5 Ashley St.,2128,36628,68.4,90,,K-12 School,1921,151.5,4.1,2506623,0.17,0.83,,,,Not Available,2016,3522557.161,96.17115762
HALE,Municipal,K-12 School,51 Cedar St.,2119,23084,68,87,,K-12 School,1909,100.4,4.3,1569356,0.25,0.75,,,,Not Available,2016,2467812.153,106.9057422
HALEY,Municipal,K-12 School,570 American Legion HWY.,2131,38993,69.4,64,,K-12 School,1971,193.5,5,2707487,0.42,0.58,,,,Not Available,2016,5219494.017,133.8572056
HAMILTON,Municipal,K-12 School,198 Strathmore Rd.,2135,31570,52.5,98,,K-12 School,1924,97.2,3.1,1658560,0.13,0.87,,,,Not Available,2016,2192119.149,69.43678012
Hamilton Hall,Yes,Residence Hall/Dormitory,700 Soldiers Field Road,2163,49297,52.2,88,,Residence Hall/Dormitory,1926,201.6,4.1,2571798,0.4,,0.60,21.8,,2200530000,2014 2015 2016,5081872.848,103.0868582
Hanover,Yes,Multifamily Housing,216-228 Hanover Street,2113,76200,49.1,100,,Multifamily Housing Restaurant Retail Store,1920,217.8,2.9,3740838,0.12,0.88,,39.4,,302391000,2015 2016,4866082.07,63.85934476
Harbor Garage,Yes,Other,70 East India Row,2110,364500,10.8,Not Available,,Other,1969,379.7,1,3924572,1,,,9.1,,302995000,2014 2015 2016,12323156.08,33.80838431
Harbor Patrol,Municipal,Police Station,Drydock  /  Summer St,2127,1000,435.2,Not Available,,Police Station,2000,42.1,42.1,435160,1,,,,,Not Available,2016,1366401.458,1366.401458
Harbor Point Apartments,Yes,Multifamily Housing,400 Mt Vernon,2125,2162289,12,100,,Multifamily Housing Parking Retail Store,1989,2120.2,1,25878876,0.66,0.34,,291.8,,1303445000,2015 2016,62870141.35,29.07573472
Harbor Seafood,Yes,Other,8 Seafood Way,2210,66087,145.1,Not Available,,Other,2001,864.2,13.1,9590752,0.85,0.15,,165507,,602674003,2015 2016,27108260.53,410.1905144
Harborside Inn,Yes,Hotel,185 State Street,2109,62370,126.8,11,,Hotel,1875,588,9.4,7909195,0.49,0.51,,42,,303808000,2014 2015 2016,16404461.35,263.01846
Harborview at the Navy Yard,Yes,Multifamily Housing,250 First Avenue,2129,225748,56.8,81,,Multifamily Housing Parking,2008,994,4.4,12814098,0.56,0.44,,41.2,,Not Available,2016,28452423.2,126.0362138
Harpoon,Yes,Other,306 Northern Ave,1220,47515,738.9,Not Available,,Other,1943,2101.9,44.2,35109069,0.15,0.85,,431.2,,Not Available,2015 2016,47871215.58,1007.496908
Harvard Club,Yes,Hotel,374 Commonwealth Avenue,2215,95000,146.3,41,,Hotel Parking Restaurant,1913,889.6,9.4,13902967,0.25,0.75,,40.1,,503816000,2016,21862415.61,230.1306906
Harvard Institutes of Medicine (HIM),Yes,Laboratory,4 Blackfan St,2115,295537,517.8,Not Available,,Laboratory,1992,10755.9,36.4,153036166,0.25,0,0.48,140.3,,401849000,2014 2015 2016,208282221.9,704.7585308
Harvard Stadium,Yes,Stadium (Open),79 North Harvard Street,2134,351745,32,Not Available,,Stadium (Open),1903,737.1,2.1,11244912,0.29,0.71,,,,2200533000,2014 2015 2016,18622698.76,52.94374835
Harvard Vanguard Medical,Yes,Medical Office,291 Independence Drive,2467,44508,179.1,13,,Medical Office Parking,1984,587.1,13.2,7971042,0.47,0.53,,15.7,,2006994100,2016,16199548.66,363.9693686
Harvard Vanguard Medical Associates,Yes,Medical Office,133 brookline Ave,2215,278667,206.5,Not Available,,Data Center Medical Office Parking,1900,4496,16.1,57541885,0.57,0.43,,717.1,,2100074000,2014 2015 2016,128968626.9,462.8055236
Hawes Hall,Yes,College/University,37 Harvard Way,2163,61104,74.7,Not Available,,College/University,2002,401.1,6.6,4562452,0.71,,0.29,21.9,,2200530000,2014 2015 2016,11759263.78,192.4467103
Hawthorne Place Condominium Trust,Yes,Multifamily Housing,2 Hawthorne Place,2114,476544,54.6,100,,Multifamily Housing,1000,1473.2,3.1,26041019,0.08,0.92,,35.5,,300475000,2015 2016,31697128.33,66.51458906
Haynes House,Yes,Multifamily Housing,735 Shawmut Ave,2119,138710,70.3,80,,Multifamily Housing Parking,1974,592.5,4.3,9749278,0.18,0.82,,55.7,,902160000,2015 2016,13904420.28,100.2409364
Headquarters BFD,Municipal,Fire Station,115 South Hampton St,2118,62432,300.9,Not Available,,Fire Station,2000,1118.4,17.9,18784063,0.15,0.85,,,,Not Available,2016,25612069.76,410.2394568
Headquarters BPD,Municipal,Police Station,1199 Tremont St,2120,180000,216.8,Not Available,,Police Station,2000,2929.5,16.3,39026593,0.5,0.5,,,,Not Available,2016,81760712.13,454.2261785
Health Center,Yes,College/University,94 Pilgrim Road,2115,5400,107,Not Available,,College/University,1967,37.5,6.9,577756,0.27,0.73,,5.8,,402012000,2015 2016,932671.5108,172.7169464
Hearth at Olmstead Green: 2 Kingbird Road,Yes,Multifamily Housing,305 American Legion Hwy,2124,59580,46.4,76,,Multifamily Housing,2012,197.2,3.3,2763244,0.42,0.58,,18.2,,1405196900,2015 2016,5326982.362,89.40890167
Hebrew Rehabilitation Center,Yes,Hospital (General Medical & Surgical),1200 Centre St,2131,420000,179,94,,Hospital (General Medical & Surgical) Parking,1963,5090.5,12.1,75163695,0.33,0.66,,45.1,,Not Available,2014 2015 2016,129973061.4,309.45967
HEMENWAY,Municipal,K-12 School,37 Millstone Rd.,2136,15077,85.7,73,,K-12 School,1947,82.8,5.5,1292068,0.25,0.75,,,,Not Available,2016,2031777.559,134.7600689
Hemenway Apartments,Yes,Multifamily Housing,491 Huntington Ave,2115,70300,120,24,,Multifamily Housing,1900,518.8,7.4,8436720,0.19,0.81,,83.1,,401797000,2015 2016,12208777.51,173.6668209
HENNIGAN,Municipal,K-12 School,200 Heath St.,2130,137800,215,6,,K-12 School,1972,1590.3,11.5,29626745,0.01,0.99,,,,Not Available,2016,31727280.79,230.2415152
HERNANDEZ,Municipal,K-12 School,61 School St.,2119,64313,63.4,93,,K-12 School,1923,236.4,3.7,4076839,0.11,0.89,,,,Not Available,2016,5217945.724,81.13360789
HF GROUP LLC,Yes,Manufacturing/Industrial Plant,100 CAMBRIDGE ST.,2129,39754,168,Not Available,,Manufacturing/Industrial,1950,540.6,13.6,6679084,0.64,0.36,,14.2,,0202138000 0202139000,2016,15946980.96,401.1415445
HIGGINSON,Municipal,K-12 School,160 Harrishof St.,2119,22968,66.4,93,,K-12 School,1922,91.4,4,1525667,0.16,0.84,,,,Not Available,2016,2112133.395,91.95983084
High Pressure Station,Municipal,Fire Station,117 Kneeland St,2111,2500,169.2,Not Available,,Fire Station,2000,40.9,16.4,422955,1,,,,,Not Available,2016,1328078.7,531.23148
Hillview Condominium Trust,Yes,Other - Lodging/Residential,5050 Washington Street,2132,88818,58.3,Not Available,,Other - Lodging/Residential,1983,322.3,3.6,5180107,0.21,0.79,,36.2,,2012245000,2015 2016,7712661.312,86.83669203
Hilton Boston Downtown/Faneuil Hall,Yes,Hotel,89 Broad St,2110,338757,121.7,Not Available,,Hotel Office Restaurant Retail Store,1998,3044.3,9,41222802,0.32,0.18,0.50,40.1,,304029000,2014 2015 2016,73945462.23,218.2846767
Holden,Municipal,K-12 School,8 Pearl St,2129,11212,9.8,100,,K-12 School,2000,10.6,0.9,109321,1,,,1.4,,Not Available,2016,343266.37,30.6159802
HOLLAND,Municipal,K-12 School,85 Olney St.,2121,138585,108.6,49,,K-12 School,1972,895.7,6.5,15052308,0.15,0.85,,,,Not Available,2016,20523821.28,148.0955462
HOLMES,Municipal,K-12 School,40 School St,2124,60280,48.9,97,,K-12 School,1906,180.3,3,2948235,0.18,0.82,,,,Not Available,2016,4204773.185,69.75403425
Holmes Sports Center,Yes,College/University,331 Brookline Avenue,2115,53100,128.7,Not Available,,College/University,1989,466.1,8.8,6834944,0.35,0.65,,15.7,,402012000,2015 2016,12176452.74,229.3117276
Holy Family Church,Yes,Worship Facility,24 Hartford Street,2125,36072,49.4,85,,Worship Facility,1925,100.7,2.8,1780447,0.08,0.92,,19.9,,1301049000,2016,2167160.088,60.07873388
Holy Name Parish School,Yes,K-12 School,535 West Roxbury Parkway,2132,118893,59.6,48,,K-12 School Parking,1953,412.5,3.5,7090668,0.12,0.88,,6,,2005897000,2015 2016,9223540.934,77.57850281
Home Depot,Yes,Retail Store,1213 VFW Parkway,2132,102849,93,65,,Parking Retail Store,1994,746.6,7.3,9563082,0.57,0.43,,8.5,,2009216400,2014 2015 2016,21433735.69,208.4000397
Honan-Allston Branch,Municipal,Library,300 North Harvard St,2134,20000,100.3,Not Available,,Library,2000,139.6,7,2006627,0.38,0.62,,,,Not Available,2016,3700621.513,185.0310757
Horticultural Hall,Yes,Office,300 Mass AVe,2115,65712,57,65,,Office,1901,362.3,5.5,3745128,1,,,8.4,,Not Available,2014 2015 2016,11759701.92,178.9582104
Hostelling International - Boston,Yes,Hotel,19 Stuart Street,2116,65000,198.2,22,,Bank Branch Hotel,2012,881.6,13.6,12884932,0.35,0.65,,62.7,,304925000,2014 2015 2016,22954506.36,353.1462517
Hotel Commonwealth,Yes,Hotel,500 Commonwealth Avenue,2215,280000,76,63,,Hotel Parking,2003,1616.7,5.8,21289715,0.52,0.48,,40.1,,0503934022 0503934026,2016,45491863.01,162.4709393
"HTA - St. Elizabeth's MOB 1, LLC",Yes,Medical Office,11 Nevins Street,2135,50676,54.9,69,,Medical Office,1988,269,5.3,2780873,1,,,,,2101835200,2015 2016,8731940.592,172.3091916
Huntington Plaza,Yes,Office,263-289 Huntington Avenue,2115,87751,138.9,47,,Office Restaurant Retail Store,1927,1004.2,11.4,12188751,0.67,0.33,,52.6,,Not Available,2016,29866095.6,340.3504871
HURLEY,Municipal,K-12 School,70 Worcester St.,2118,42043,76.1,86,,K-12 School,1961,188.7,4.5,3199112,0.13,0.87,,,,Not Available,2016,4228266.463,100.5700464
Hurley Building,Yes,State Office Building,19 Staniford Street,2114,347022,190.45,0,,State Office Building Office,1969,4757,,66090998,0.39,0.61,,,,,2015 2016,123266320.4,355.211832
Hyatt Regency Boston,Yes,Hotel,One Avenue De Lafayette,2111,462684,86.2,54,,Hotel Other Restaurant,1983,3252.1,7,39892531,0.65,0.35,,34334,,304500100,2014 2015 2016,96081160.91,207.6604354
Hyde Park Branch,Municipal,Library,35 Harvard Ave,2134,30000,34.8,Not Available,,Library,2000,100.9,3.4,1042721,1,,,,,Not Available,2016,3274143.312,109.1381104
Hyde Park Community Center,Municipal,Other - Recreation,1175 River St,2136,40000,22.5,Not Available,,Other - Recreation,2000,87.3,2.2,901860,1,,,,,Not Available,2016,2831839.772,70.7959943
HYDE PARK HS,Municipal,K-12 School,655 Metropolitan Ave.,2136,186589,66.5,66,,K-12 School,1929,806.6,4.3,12407402,0.27,0.73,,,,Not Available,2016,20029268.89,107.3443177
Hyde Park Storage LLC,Yes,Self-Storage Facility,1641 Hyde Park Ave,2136,40188,20.2,Not Available,,Self-Storage Facility,1997,38.2,1,812535,0.11,0.89,,0.6,212511,9450000,2016,1.73E+11,4296646.333
"IM000106 - 32 George St, Boston, MA",Yes,Non-Refrigerated Warehouse,32 George St,2119,242500,9.3,99,,Non-Refrigerated Warehouse,1930,169.9,0.7,2251756,0.51,0.49,,0.1,,Not Available,2016,4764491.367,19.64738708
Independence Wharf,Yes,Financial Office,470 Atlantic Avenue,2210,324022,72.3,82,,Financial Office Office Parking,2001,2081.9,6.4,23416054,0.74,0,0.26,15.3,,302956000,2014 2015 2016,61715351.66,190.4665475
International Village,Yes,College/University,1155-1175 Tremont Street,2115,495301,81.2,Not Available,,College/University,2009,3057.8,6.2,40198774,0.53,0.47,,31,,Not Available,2014 2015 2016,86736894.66,175.119563
IRVING,Municipal,K-12 School,105 Cummins HWY,2131,110370,58.1,91,,K-12 School,1936,387.9,3.5,6412474,0.17,0.83,,,,Not Available,2016,9011449.993,81.6476397
Isabella Stewart Gardner Museum,Yes,Museum,25 Evans Way,2115,70000,165.5,Not Available,,Museum,2011,1021,14.6,11584593,0.8,0.2,,47.8,,Not Available,2014 2015 2016,31533262.15,450.4751735
Isabella Stewart Gardner Museum,Yes,Museum,280 the Fenway,2115,63000,102.5,Not Available,,Museum,1903,406.4,6.5,6457129,0.23,0.77,,,,Not Available,2014 2015 2016,9883927.36,156.8877359
Jack Young Company,Yes,Distribution Center,354 Cambridge Street,2134,40000,26.5,Not Available,,Distribution Center Multifamily Housing,1920,93.4,2.3,1059918,0.8,0.2,,1.8,,2100675010,2016,2885096.796,72.1274199
JACKSON MANN,Municipal,K-12 School,40 Armington St.,2134,207798,158.7,10,,K-12 School,1975,1850.2,8.9,32968337,0.07,0.93,,,,Not Available,2016,39440022.03,189.7998154
Jackson Square Limited Partnership,Yes,Supermarket/Grocery Store,301 Centre Street,2130,46660,218.2,87,,Parking Supermarket/Grocery,1996,815.6,17.5,10182207,0.62,0.38,,20.8,,1001850010,2016,23885421.18,511.903583
Jaharis Family Center for  Biological and Nutrition Sciences,Yes,Laboratory,150 Harrison Avenue,2111,179423,387.3,Not Available,,Laboratory,2002,5469.7,30.5,69496031,0.41,0,0.59,62.4,,305104000,2014 2015 2016,138672380.3,772.8796211
Jamaica Plain,Yes,Multifamily Housing,48 School Street,2130,156000,71.5,84,,Multifamily Housing Parking,1920,686.4,4.4,11151154,0.19,0.81,,58,,1.1015E+129,2015 2016,16136834.95,103.4412497
Jamaica Plain Branch,Municipal,Library,12 Sedgewick St,2130,9252,86.5,Not Available,,Library,2000,50.8,5.5,799844,0.24,0.76,,,,Not Available,2016,1241037.485,134.1372119
Jamaicaway Tower and Townhouses,Yes,Multifamily Housing,111 Perkins Street,2130,445701,60.8,73,,Multifamily Housing,1965,2190.8,4.9,27083158,0.31,0.01,,22.7,,1002149000,2015 2016,26647119.16,59.78698535
Jamestown - 1 Design Center Boston,Yes,Distribution Center,1 Design Center Place,2210,495668,76.5,Not Available,,Distribution Center Office Restaurant,1985,2870.1,4.7,37916572,0.52,0.48,,9.1,,0602674012 0602674018,2014 2015 2016,81020131.05,163.4564488
Jamestown - 21-25 Drydock Ave Boston,Yes,Mixed Use Property,21-25 Drydock Ave,2210,716455,83,Not Available,,Manufacturing/Industrial Non-Refrigerated Warehouse Office Other,1985,4072.3,5,59474690,0.35,0.65,,7.5,698449,602674013,2014 2015 2016,4.15E+13,57980115.58
Jean Yawkey Center/Marian Hall,Yes,College/University,400R The Fenway,2115,87877,213.6,Not Available,,College/University Parking,1954,1280.3,14.6,18771531,0.35,0.65,,33.7,,401847000,2014 2015 2016,33441482.48,380.5487497
John Hancock - 601 Congress Street,Yes,Financial Office,601 Congress Street,2210,525642,60.8,97,,Data Center Financial Office Parking,2004,3054,-0.6,31955665,0.97,0.03,,11.9,,602678701,2014 2015 2016,98337167.9,187.080119
JOKAM,Yes,Office,74 Lawley Street,2122,45724,42.5,98,,Office,1935,129.4,2.8,1944731,0.31,0.69,,1.1,,1602618000,2016,3301958.765,72.21500229
Jordan Hall,Yes,College/University,290 Huntington Ave,2115,143000,76.8,Not Available,,College/University,1867,770.7,5.4,10983556,0.39,0.61,,13,,Not Available,2016,20485430.48,143.2547586
JP Plaza,Yes,Strip Mall,315 Centre Street,2130,43792,84.1,Not Available,,Parking Strip Mall,1991,301.4,6.9,3682763,0.66,0.34,,18.8,,1001850100,2016,8946904.432,204.3045404
Judge Baker Children's Center,Yes,Other - Education,53 Parker Hill Ave,2120,72000,96.1,Not Available,,Other - Education,2003,494.5,6.9,6917698,0.42,0.58,,14,,1001439001,2014 2015 2016,13335938.2,185.221364
Julia Martin House: Julia Martin House,Yes,Multifamily Housing,90 Bickford St,2130,44892,56.6,68,,Multifamily Housing,2006,179.5,4,2542578,0.4,0.6,,43.5,,1002334010,2016,4795302.108,106.8186338
Julie Hall,Yes,Residence Hall/Dormitory,400 The Fenway,2115,53826,78.4,71,,Residence Hall/Dormitory,1958,299.2,5.6,4217760,0.41,0.59,,38.7,,401862030,2014 2015 2016,8042846.544,149.423077
Kenmore Abbey,Yes,Multifamily Housing,488 Commonwealth Avenue,2115,199419,58.9,82,,Multifamily Housing,1978,793.6,4,11736592,0.33,0.67,,37.7,,503924000,2015 2016,20418148.58,102.3881806
Kenmore Tower,Yes,Multifamily Housing,566 Commonwealth Avenue,2215,100000,31.7,100,,Multifamily Housing,1980,115.5,1.2,3173994,,0.69,,42.3,,Not Available,2016,2299558.436,22.99558436
KENNEDY JF,Municipal,K-12 School,7 Bolster St.,2130,49194,66.6,92,,K-12 School,1963,191.2,3.9,3275809,0.12,0.88,,,,Not Available,2016,4261172.087,86.61975215
KENNEDY PJ,Municipal,K-12 School,343 Saratoga St.,2128,36190,38.2,100,,K-12 School,1926,86.6,2.4,1383320,0.22,0.78,,,,Not Available,2016,2088536.838,57.71032987
KENNEY,Municipal,K-12 School,19 Oakton Ave.,2122,37578,39.3,99,,K-12 School,1926,93.5,2.5,1475145,0.23,0.77,,,,Not Available,2016,2258005.064,60.08848432
KENT,Municipal,K-12 School,50 Bunker Hill St.,2129,93350,85.2,68,,K-12 School,1972,474.9,5.1,7957880,0.15,0.85,,,,Not Available,2016,10850568.7,116.2353369
Keystone Apartments,Yes,Multifamily Housing,151 Hallet Street,2124,279125,59.8,Not Available,,Multifamily Housing Parking,1979,1057.5,3.8,16705041,0.23,0.77,,27.9,,1604327000,2015 2016,25570406.26,91.60915811
KILMER,Municipal,K-12 School,35 Baker St.,2132,25068,54.9,95,,K-12 School,1935,87.9,3.5,1375708,0.25,0.75,,,,Not Available,2016,2163300.673,86.29729826
KING,Municipal,K-12 School,77 Lawrence Ave.,2121,113462,48.4,96,,K-12 School,1937,333.5,2.9,5487008,0.18,0.82,,,,Not Available,2016,7825570.382,68.97084823
