Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),PARCEL_ID,Years Reported,Total Source Energy (kBTU),Source EUI (kBTU/sf),2030 Target by Type,Distance to 2030 Target %,Distance to 2030 Target val,Specific Property Type,,,
Finland Building,Municipal,Health,754 Albany Street,02118,97268,79.6,Not Available,,Urgent Care/Clinic/Outpatient,2000,749.4,7.7,7746127,1,,,,,Not Available,2016,24322838.47,250.0600245,130.4,0.478525,119.660024,Urgent Care/Clinic/Other Outpatient,,,
Fire Academy Burn Building,Municipal,Public Order and Saftey,MOON-ISLAND ST,02169,2100,Not Available,Not Available,,Fire Station,2005,0,0,Not Available,,,,,,Not Available,2016,#VALUE!,#VALUE!,,0,119.660024,Fire Station,,,
Fire Alarm,Municipal,Public Order and Saftey,59 Fenway,02115,13040,274.5,Not Available,,Fire Station,2000,260.3,20,3579880,0.45,0.55,,,,Not Available,2016,7125751.737,546.4533541,101.6,0.814074,444.853354,Fire Station,,,
First Church in Boston,Yes,Public Assembly,66 Marlborough St.,02116,35776,77.9,Not Available,,Other - Entertainment/Public Assembly Parking,1972,173.2,4.8,2785945,0.21,0.79,,9.6,,Not Available,2016,4147993.511,115.943468,71.2,0.385908,44.743468,Other - Entertainment/Public Assembly,,,
Five Hundred Boylston Street,Yes,Office,500 Boylston St.,02116,744169,57.6,83,,Office Parking,1987,4148.5,5.6,42880492,1,,,15.9,,0401092000,2014 2015 2016,134644744.9,180.9330204,101.6,0.438466,79.33302,Office,,,
Flagship Wharf Condominium: 197 8th Street,Yes,Residential,197 8th Street,02129,450000,26.6,88,,Multifamily Housing,1989,1113.8,2.5,11986504,0.91,0.09,,21.5,,0203505100,2015 2016,35382961.16,78.62880257,101.6,0,-22.971197,Multifamily Housing,,,
Flaherty Pool,Municipal,Public Assembly,160 Florence St,02131,15000,338.9,Not Available,,Other - Recreation,2000,335.2,22.3,5083148,0.29,0.71,,,,Not Available,2016,8418201.072,561.2134048,80,0.857452,481.213405,Other - Recreation,,,
Flats on D,Yes,Residential,411 D Street,02210,237984,71.5,Not Available,,Multifamily Housing Retail Store,2014,1345.3,5.7,17014618,0.59,0.41,,11.6,,0602842000,2015 2016,38846074.36,163.2297732,25.4,0.844391,137.829773,Multifamily Housing,,,
Florence Apartments,Yes,Residential,84-90 92-106 108-130 132-154 156-166 Fawndale Road,02131,145643,76.2,98,,Multifamily Housing,1968,596.6,4.1,11092362,0.02,0.98,,83.1,,1903232000,2015 2016,12110640.83,83.15292071,,0,137.829773,Multifamily Housing,,,
FOLIOBOSTON CONDOMINIUM TRUST,Yes,Residential,80 Broad Street,02110,323789,41.5,97,,Multifamily Housing,2006,846.8,2.6,13446483,0.23,0.77,,11.5,,0303990010,2015 2016,20582531.53,63.56772938,25.4,0.600426,38.167729,Multifamily Housing,,,
Forestvale Apartments,Yes,Residential,107-113 Forest Hills Street 115-121 Forest Hills Street 123-127 Forest Hills Street,02130,98205,81.1,89,,Multifamily Housing,1964,458.1,4.7,7963533,0.1,0.9,,7743.5,,1102906000,2015 2016,10026088.05,102.093458,,0,38.167729,Multifamily Housing,,,
Fort Point Place,Yes,Residential,21 Wormwood Street,02210,100000,63,32,,Multifamily Housing,2000,511.9,5.1,6304060,0.64,0.36,,31.5,,0602753010,2015 2016,15051573.66,150.5157366,101.6,0.324988,48.915737,Multifamily Housing,,,
Fortress-Boston Corporation,Yes,Warehouse and Storage,83 105 Boston St,02125,43104,61,Not Available,,Self-Storage Facility,1988,222.1,5.2,2630959,0.72,0.28,,1.4,,Not Available,2016,6721574.053,155.938522,22.4,0.856354,133.538522,Self-Storage Facility,,,
Four Seasons Place - Hotel/Condo Management,Yes,Residential,200/220 Boylston Street,02116,798170,65.2,52,,Hotel Multifamily Housing Parking,1980,4267.6,5.3,52024539,0.59,0.17,0.24,24.9,,0501185000,2014 2015 2016,120650108.4,151.1584104,101.6,0.327857,49.55841,Hotel,,,
FP 3,Yes,Residential,346 Congress St,02210,93300,171.2,1,,Multifamily Housing,1996,1152.1,12.3,15976150,0.44,0.56,,3.9,,0602655010,2015 2016,31466625.04,337.2628622,101.6,0.698751,235.662862,Multifamily Housing,,,
Franciscan Monastery of St Clare,Yes,Residential,920 Centre St,02130,60000,55.6,Not Available,,Other - Lodging/Residential Parking,1906,246.9,4.1,3337610,0.1,0.12,,7.2,,Not Available,2014 2015 2016,1468548.4,24.47580667,130.4,0,-105.924193,Other - Lodging/Residential,,,
Franklin Highlands,Yes,Residential,124 Ruthven Street,02121,324397,68.1,79,,Multifamily Housing,2001,1350.4,4.2,22096931,0.18,0.82,,43.5,,1202220000,2015 2016,31514643.28,97.14838077,101.6,0,-4.451619,Multifamily Housing,,,
Franklin Hill Corp PH1,Yes,Residential,1 Shandon Road,02124,277643,11.6,100,,Multifamily Housing,1900,229.5,0.8,3223732,0.41,0.59,,1.9,,1404238010,2015 2016,6147334.551,22.14114727,101.6,0,-79.458853,Multifamily Housing,,,
Franklin Park Greenhouse,Municipal,Other,190 Morton Street,02130,25000,267.3,Not Available,,Other,2000,376.5,15.1,6683158,0.04,0.89,,,,Not Available,2016,7084815.478,283.3926191,101.6,0.641487,181.792619,Other,,,
Franklin Park Maintenance Shed,Municipal,Mercentile,Morton St and Canterbury St,02131,3600,9,Not Available,,Repair Services,1905,3.1,0.9,32417,1,,,,,Not Available,2016,101790.636,28.27517667,,0,181.792619,Repair Services (Vehicle Shoe Locksmith etc.),,,
Franklin Park Ranger Office,Municipal,Office,Morton St and Canterbury St,02131,1400,153.4,Not Available,,Office,1905,20.8,14.8,214772,1,,,,,Not Available,2016,674383.452,481.7024657,101.6,0.789081,380.102466,Office,,,
Franklin Park Ranger Stables,Municipal,Mercentile,Morton St and Canterbury St,02131,4500,26.4,Not Available,,Repair Services,1905,11.5,2.6,118939,1,,,,,Not Available,2016,373468.146,82.99292133,,0,380.102466,Repair Services (Vehicle Shoe Locksmith etc.),,,
Franklin Park Trades Office,Municipal,Mercentile,Morton St and Canterbury St,02131,10000,113.3,Not Available,,Repair Services,1905,109.6,11,1132784,1,,,,,Not Available,2016,3556941.76,355.694176,,0,380.102466,Repair Services (Vehicle Shoe Locksmith etc.),,,
Franklin Square Apartments,Yes,Residential,11 East Newton Street,02118,193816,79.9,70,,Multifamily Housing,1867,937.4,4.8,15488807,0.17,0.83,,35.5,,0801385002,2015 2016,21766420.9,112.3045615,101.6,0.095317,10.704561,Multifamily Housing,,,
FULLER,Municipal,Education,25 Glen Rd.,02130,19887,76.6,90,,K-12 School,1892,90.1,4.5,1523076,0.14,0.86,,,,Not Available,2016,2044881.569,102.8250399,101.6,0.011914,1.22504,K-12 School,,,
Fulton Court Condominium Trust,Yes,Residential,100 Fulton Street,02109,100800,8.3,100,,Multifamily Housing,1990,80.5,0.8,832334,1,,,19.4,,0303478000,2015 2016,2613528.76,25.92786468,101.6,0,-75.672135,Multifamily Housing,,,
Gallatin Hall,Yes,Residential,24 Harvard Way,02163,50956,59.2,81,,Residence Hall/Dormitory,1926,241.2,4.7,3017118,0.45,,0.55,21.8,,2200530000,2014 2015 2016,6254485.614,122.7428686,101.6,0.172253,21.142869,Residence Hall/Dormitory,,,
Gallivan Community Center,Municipal,Public Assembly,61 Woodruff Way,02126,10400,90.6,Not Available,,Other - Recreation,2000,61,5.9,942004,0.27,0.73,,,,Not Available,2016,1520677.541,146.2189944,80,0.452875,66.218994,Other - Recreation,,,
Garage at Post Office Square,Yes,Warehouse and Storage,Zero Post Office Square,02109,50000,60,Not Available,,Other - Recreation Parking,1990,290.3,5.8,3000619,1,,,26.7,,0304163000,2014 2015 2016,9421943.66,188.4388732,101.6,0.460833,86.838873,Parking,,,
GARDNER,Municipal,Education,30 Athol,02134,59196,57.4,94,,K-12 School,1906,204.2,3.4,3397886,0.16,0.84,,,,Not Available,2016,4704032.825,79.46538321,101.6,0,-22.134617,K-12 School,,,
GARFIELD,Municipal,Education,95 Beechcroft,02135,47314,59.3,95,,K-12 School,1925,165.9,3.5,2805103,0.14,0.86,,,,Not Available,2016,3766131.422,79.59866894,101.6,0,-22.001331,K-12 School,,,
Garrison Condominium,Yes,Residential,8 Garrison St,02116,73000,74.2,90,,Multifamily Housing,1900,320.4,4.4,5413744,0.14,0.86,,45.7,,401011000,2015 2016,7268492.694,99.56839307,101.6,0,-2.031607,Multifamily Housing,,,
Garrison Square,Yes,Residential,32 Garrison Street,02116,115806,59,Not Available,,Multifamily Housing,1985,661.1,5.7,6833420,1,,,,,0400972000,2015 2016,21456938.8,185.283481,101.6,0.451651,83.683481,Multifamily Housing,,,
Gatehouse 75,Yes,Residential,75 W School St,02129,95087,82.4,12,,Multifamily Housing Parking,2013,629.5,6.6,7834954,0.62,0.38,,33.3,,0202360000,2016,18379235.09,193.2886209,25.4,0.86859,167.888621,Multifamily Housing,,,
GAVIN,Municipal,Education,215 Dorchester,02127,108387,46.2,96,,K-12 School,1936,311.8,2.9,5005829,0.21,0.79,,,,Not Available,2016,7453179.394,68.76451414,101.6,0,-32.835486,K-12 School,,,
Genesis House: 28 Wallingford Rd.,Yes,Residential,28 Wallingford Rd.,02135,187656,69.5,64,,Multifamily Housing,1978,878.2,4.7,13049750,0.32,0.68,,51.5,,2102565020,2015 2016,22429910.3,119.526742,101.6,0.149981,17.926742,Multifamily Housing,,,
Geneva Apartments LLC,Yes,Residential,231 - 1 Geneva Ave,02125,52350,103.6,54,,Multifamily Housing,2000,317.9,6.1,5421732,0.13,0.87,,77.9,,1401380000,2016,7165903.184,136.8844925,101.6,0.257768,35.284492,Multifamily Housing,,,
George Robert White Resource Center,Municipal,Other,26 Central Ave,02136,12300,Not Available,Not Available,,Other,2000,Not Available,Not Available,Not Available,,,,,,Not Available,2016,#VALUE!,#VALUE!,,0,35.284492,Other,,,
Glass Hall,Yes,Office,660 Soldiers Field Road,02163,7563,78.2,73,,Office,1926,43.5,5.8,591165,0.24,,0.76,21.7,,2200530000,2014 2015 2016,984644.424,130.1923078,101.6,0.219616,28.592308,Office,,,
Goldenson,Yes,Office,220 Longwood,02115,133445,226.6,Not Available,,Laboratory,1905,2187.5,16.4,30239215,0.31,0,0.45,76,,0401882000,2014 2015 2016,45764027.98,342.9429951,101.6,0.703741,241.342995,Laboratory,,,
Gordon Hall,Yes,Office,25 Shattuck St,02115,72877,147.6,3,,Office,1905,878.1,12,10755147,0.59,,0.21,6.9,,0401882000,2014 2015 2016,22635282.38,310.5956938,101.6,0.672887,208.995694,Office,,,
Gordon Track and Tennis Center,Yes,Mercentile,69 North Harvard Street,02134,77058,37.7,Not Available,,Race Track,1977,214.8,2.8,2904327,0.25,,0.75,7.3,,2200533000,2014 2015 2016,4893790.995,63.5078901,101.6,0,-38.09211,Race Track,,,
Governor Apartments: 209 Kelton Street,Yes,Residential,209 Kelton Street,02134,91557,58.6,87,,Multifamily Housing,1980,327.9,3.6,5361973,0.18,0.82,,37.9,,2101692000,2015 2016,7647245.893,83.52442623,101.6,0,-18.075574,Multifamily Housing,,,
Granite Lena Park,Yes,Residential,754 Blue Hill Avenue,02121,115064,124.9,22,,Multifamily Housing,1920,875.5,7.6,14370941,0.18,0.82,,87.8,,1401945000 1401946000 1402519000 1402771000 1402774000 1402788000 1402823000 1405083000 1401933000,2015 2016,20495836.05,178.1255306,101.6,0.429616,76.525531,Multifamily Housing,,,
Grant Manor Apartments,Yes,Residential,75 Federal Street 4th Floor,02110,152212,101.9,58,,Multifamily Housing,1900,944,6.2,15506538,0.18,0.82,,17.1,,0801675000,2015 2016,22115424.5,145.2935675,101.6,0.300726,43.693567,Multifamily Housing,,,
Greater Boston Legal Services,Yes,Office,32 38 Anthony R Valenti Wy,02114,50400,56.7,85,,Office,1900,254.3,5,2858383,0.82,0.18,,11.8,,0301592000,2014 2015 2016,7899998.935,156.7460106,101.6,0.351818,55.146011,Office,,,
Greenhill House,Yes,Office,40 Harvard Way,02163,5940,91.5,72,,Office,1965,38.2,6.4,543245,0.13,,0.87,29.6,,2200530000,2014 2015 2016,788900.389,132.8115133,101.6,0.235006,31.211513,Office,,,
GREENWOOD E,Municipal,Education,612 METROPOLITAN AVE,02136,51128,36.8,100,,K-12 School,1957,114.7,2.2,1880067,0.18,0.82,,,,Not Available,2016,2681350.985,52.44388564,101.6,0,-49.156114,K-12 School,,,
GREENWOOD S,Municipal,Education,186 GLENWAY ST,02121,58452,51.5,97,,K-12 School,1925,182.2,3.1,3009783,0.17,0.83,,,,Not Available,2016,4229647.628,72.36104202,101.6,0,-29.238958,K-12 School,,,
GREW,Municipal,Education,40 Gordon Ave.,02136,32216,53.8,96,,K-12 School,1956,107.2,3.3,1732833,0.2,0.8,,,,Not Available,2016,2543799.431,78.96074718,101.6,0,-22.639253,K-12 School,,,
GUILD,Municipal,Education,5 Ashley St.,02128,36628,68.4,90,,K-12 School,1921,151.5,4.1,2506623,0.17,0.83,,,,Not Available,2016,3522557.161,96.17115762,101.6,0,-5.428842,K-12 School,,,
HALE,Municipal,Education,51 Cedar St.,02119,23084,68,87,,K-12 School,1909,100.4,4.3,1569356,0.25,0.75,,,,Not Available,2016,2467812.153,106.9057422,101.6,0.04963,5.305742,K-12 School,,,
HALEY,Municipal,Education,570 American Legion HWY.,02131,38993,69.4,64,,K-12 School,1971,193.5,5,2707487,0.42,0.58,,,,Not Available,2016,5219494.017,133.8572056,101.6,0.240982,32.257206,K-12 School,,,
HAMILTON,Municipal,Education,198 Strathmore Rd.,02135,31570,52.5,98,,K-12 School,1924,97.2,3.1,1658560,0.13,0.87,,,,Not Available,2016,2192119.149,69.43678012,101.6,0,-32.16322,K-12 School,,,
Hamilton Hall,Yes,Residential,700 Soldiers Field Road,02163,49297,52.2,88,,Residence Hall/Dormitory,1926,201.6,4.1,2571798,0.4,,0.6,21.8,,2200530000,2014 2015 2016,5081872.848,103.0868582,101.6,0.014423,1.486858,Residence Hall/Dormitory,,,
Hanover,Yes,Residential,216-228 Hanover Street,02113,76200,49.1,100,,Multifamily Housing Restaurant Retail Store,1920,217.8,2.9,3740838,0.12,0.88,,39.4,,0302391000,2015 2016,4866082.07,63.85934476,101.6,0,-37.740655,Multifamily Housing,,,
Harbor Garage,Yes,Other,70 East India Row,02110,364500,10.8,Not Available,,Other,1969,379.7,1,3924572,1,,,9.1,,0302995000,2014 2015 2016,12323156.08,33.80838431,101.6,0,-67.791616,Other,,,
Harbor Patrol,Municipal,Public Order and Saftey,Drydock  /  Summer St,02127,1000,435.2,Not Available,,Police Station,2000,42.1,42.1,435160,1,,,,,Not Available,2016,1366401.458,1366.401458,116.8,0.91452,1249.601458,Police Station,,,
Harbor Point Apartments,Yes,Residential,400 Mt Vernon,02125,2162289,12,100,,Multifamily Housing Parking Retail Store,1989,2120.2,1,25878876,0.66,0.34,,291.8,,1303445000,2015 2016,62870141.35,29.07573472,101.6,0,-72.524265,Multifamily Housing,,,
Harbor Seafood,Yes,Other,8 Seafood Way,02210,66087,145.1,Not Available,,Other,2001,864.2,13.1,9590752,0.85,0.15,,165507,,0602674003,2015 2016,27108260.53,410.1905144,101.6,0.75231,308.590514,Other,,,
Harborside Inn,Yes,Residential,185 State Street,02109,62370,126.8,11,,Hotel,1875,588,9.4,7909195,0.49,0.51,,42,,0303808000,2014 2015 2016,16404461.35,263.01846,101.6,0.613715,161.41846,Hotel,,,
Harborview at the Navy Yard,Yes,Residential,250 First Avenue,02129,225748,56.8,81,,Multifamily Housing Parking,2008,994,4.4,12814098,0.56,0.44,,41.2,,Not Available,2016,28452423.2,126.0362138,25.4,0.798471,100.636214,Multifamily Housing,,,
Harpoon,Yes,Other,306 Northern Ave,01220,47515,738.9,Not Available,,Other,1943,2101.9,44.2,35109069,0.15,0.85,,431.2,,Not Available,2015 2016,47871215.58,1007.496908,101.6,0.899156,905.896908,Other,,,
Harvard Club,Yes,Residential,374 Commonwealth Avenue,02215,95000,146.3,41,,Hotel Parking Restaurant,1913,889.6,9.4,13902967,0.25,0.75,,40.1,,0503816000,2016,21862415.61,230.1306906,101.6,0.558512,128.530691,Hotel,,,
Harvard Institutes of Medicine (HIM),Yes,Office,4 Blackfan St,02115,295537,517.8,Not Available,,Laboratory,1992,10755.9,36.4,153036166,0.25,0,0.48,140.3,,0401849000,2014 2015 2016,208282221.9,704.7585308,101.6,0.855837,603.158531,Laboratory,,,
Harvard Stadium,Yes,Public Assembly,79 North Harvard Street,02134,351745,32,Not Available,,Stadium (Open),1903,737.1,2.1,11244912,0.29,0.71,,,,2200533000,2014 2015 2016,18622698.76,52.94374835,101.6,0,-48.656252,Stadium (Open),,,
Harvard Vanguard Medical,Yes,Office,291 Independence Drive,02467,44508,179.1,13,,Medical Office Parking,1984,587.1,13.2,7971042,0.47,0.53,,15.7,,2006994100,2016,16199548.66,363.9693686,101.6,0.720856,262.369369,Medical Office,,,
Harvard Vanguard Medical Associates,Yes,Office,133 brookline Ave,02215,278667,206.5,Not Available,,Data Center Medical Office Parking,1900,4496,16.1,57541885,0.57,0.43,,717.1,,2100074000,2014 2015 2016,128968626.9,462.8055236,101.6,0.780469,361.205524,Medical Office,,,
Hawes Hall,Yes,Education,37 Harvard Way,02163,61104,74.7,Not Available,,College/University,2002,401.1,6.6,4562452,0.71,,0.29,21.9,,2200530000,2014 2015 2016,11759263.78,192.4467103,48.8,0.746423,143.64671,College/University,,,
Hawthorne Place Condominium Trust,Yes,Residential,2 Hawthorne Place,02114,476544,54.6,100,,Multifamily Housing,1000,1473.2,3.1,26041019,0.08,0.92,,35.5,,0300475000,2015 2016,31697128.33,66.51458906,101.6,0,-35.085411,Multifamily Housing,,,
Haynes House,Yes,Residential,735 Shawmut Ave,02119,138710,70.3,80,,Multifamily Housing Parking,1974,592.5,4.3,9749278,0.18,0.82,,55.7,,0902160000,2015 2016,13904420.28,100.2409364,101.6,0,-1.359064,Multifamily Housing,,,
Headquarters BFD,Municipal,Public Order and Saftey,115 South Hampton St,02118,62432,300.9,Not Available,,Fire Station,2000,1118.4,17.9,18784063,0.15,0.85,,,,Not Available,2016,25612069.76,410.2394568,101.6,0.75234,308.639457,Fire Station,,,
Headquarters BPD,Municipal,Public Order and Saftey,1199 Tremont St,02120,180000,216.8,Not Available,,Police Station,2000,2929.5,16.3,39026593,0.5,0.5,,,,Not Available,2016,81760712.13,454.2261785,116.8,0.742859,337.426179,Police Station,,,
Health Center,Yes,Education,94 Pilgrim Road,02115,5400,107,Not Available,,College/University,1967,37.5,6.9,577756,0.27,0.73,,5.8,,0402012000,2015 2016,932671.5108,172.7169464,195.2,0,-22.483054,College/University,,,
Hearth at Olmstead Green: 2 Kingbird Road,Yes,Residential,305 American Legion Hwy,02124,59580,46.4,76,,Multifamily Housing,2012,197.2,3.3,2763244,0.42,0.58,,18.2,,1405196900,2015 2016,5326982.362,89.40890167,25.4,0.715912,64.008902,Multifamily Housing,,,
Hebrew Rehabilitation Center,Yes,Health,1200 Centre St,02131,420000,179,94,,Hospital (General Medical & Surgical) Parking,1963,5090.5,12.1,75163695,0.33,0.66,,45.1,,Not Available,2014 2015 2016,129973061.4,309.45967,101.6,0.671686,207.85967,Hospital (General Medical & Surgical),,,
HEMENWAY,Municipal,Education,37 Millstone Rd.,02136,15077,85.7,73,,K-12 School,1947,82.8,5.5,1292068,0.25,0.75,,,,Not Available,2016,2031777.559,134.7600689,101.6,0.246067,33.160069,K-12 School,,,
Hemenway Apartments,Yes,Residential,491 Huntington Ave,02115,70300,120,24,,Multifamily Housing,1900,518.8,7.4,8436720,0.19,0.81,,83.1,,0401797000,2015 2016,12208777.51,173.6668209,101.6,0.414972,72.066821,Multifamily Housing,,,
HENNIGAN,Municipal,Education,200 Heath St.,02130,137800,215,6,,K-12 School,1972,1590.3,11.5,29626745,0.01,0.99,,,,Not Available,2016,31727280.79,230.2415152,101.6,0.558724,128.641515,K-12 School,,,
HERNANDEZ,Municipal,Education,61 School St.,02119,64313,63.4,93,,K-12 School,1923,236.4,3.7,4076839,0.11,0.89,,,,Not Available,2016,5217945.724,81.13360789,101.6,0,-20.466392,K-12 School,,,
HF GROUP LLC,Yes,Other,100 CAMBRIDGE ST.,02129,39754,168,Not Available,,Manufacturing/Industrial,1950,540.6,13.6,6679084,0.64,0.36,,14.2,,0202138000 0202139000,2016,15946980.96,401.1415445,101.6,0.746723,299.541545,Manufacturing/Industrial Plant,,,
HIGGINSON,Municipal,Education,160 Harrishof St.,02119,22968,66.4,93,,K-12 School,1922,91.4,4,1525667,0.16,0.84,,,,Not Available,2016,2112133.395,91.95983084,101.6,0,-9.640169,K-12 School,,,
High Pressure Station,Municipal,Public Order and Saftey,117 Kneeland St,02111,2500,169.2,Not Available,,Fire Station,2000,40.9,16.4,422955,1,,,,,Not Available,2016,1328078.7,531.23148,101.6,0.808746,429.63148,Fire Station,,,
Hillview Condominium Trust,Yes,Residential,5050 Washington Street,02132,88818,58.3,Not Available,,Other - Lodging/Residential,1983,322.3,3.6,5180107,0.21,0.79,,36.2,,2012245000,2015 2016,7712661.312,86.83669203,130.4,0,-43.563308,Other - Lodging/Residential,,,
Hilton Boston Downtown/Faneuil Hall,Yes,Residential,89 Broad St,02110,338757,121.7,Not Available,,Hotel Office Restaurant Retail Store,1998,3044.3,9,41222802,0.32,0.18,0.5,40.1,,0304029000,2014 2015 2016,73945462.23,218.2846767,101.6,0.534553,116.684677,Hotel,,,
Holden,Municipal,Education,8 Pearl St,02129,11212,9.8,100,,K-12 School,2000,10.6,0.9,109321,1,,,1.4,,Not Available,2016,343266.37,30.6159802,101.6,0,-70.98402,K-12 School,,,
HOLLAND,Municipal,Education,85 Olney St.,02121,138585,108.6,49,,K-12 School,1972,895.7,6.5,15052308,0.15,0.85,,,,Not Available,2016,20523821.28,148.0955462,101.6,0.313956,46.495546,K-12 School,,,
HOLMES,Municipal,Education,40 School St,02124,60280,48.9,97,,K-12 School,1906,180.3,3,2948235,0.18,0.82,,,,Not Available,2016,4204773.185,69.75403425,101.6,0,-31.845966,K-12 School,,,
Holmes Sports Center,Yes,Education,331 Brookline Avenue,02115,53100,128.7,Not Available,,College/University,1989,466.1,8.8,6834944,0.35,0.65,,15.7,,0402012000,2015 2016,12176452.74,229.3117276,195.2,0.148757,34.111728,College/University,,,
Holy Family Church,Yes,Public Assembly,24 Hartford Street,02125,36072,49.4,85,,Worship Facility,1925,100.7,2.8,1780447,0.08,0.92,,19.9,,1301049000,2016,2167160.088,60.07873388,101.6,0,-41.521266,Worship Facility,,,
Holy Name Parish School,Yes,Education,535 West Roxbury Parkway,02132,118893,59.6,48,,K-12 School Parking,1953,412.5,3.5,7090668,0.12,0.88,,6,,2005897000,2015 2016,9223540.934,77.57850281,101.6,0,-24.021497,K-12 School,,,
Home Depot,Yes,Mercentile,1213 VFW Parkway,02132,102849,93,65,,Parking Retail Store,1994,746.6,7.3,9563082,0.57,0.43,,8.5,,2009216400,2014 2015 2016,21433735.69,208.4000397,111.2,0.466411,97.20004,Retail Store,,,
Honan-Allston Branch,Municipal,Public Assembly,300 North Harvard St,02134,20000,100.3,Not Available,,Library,2000,139.6,7,2006627,0.38,0.62,,,,Not Available,2016,3700621.513,185.0310757,196.8,0,-11.768924,Library,,,
Horticultural Hall,Yes,Office,300 Mass AVe,02115,65712,57,65,,Office,1901,362.3,5.5,3745128,1,,,8.4,,Not Available,2014 2015 2016,11759701.92,178.9582104,101.6,0.43227,77.35821,Office,,,
Hostelling International - Boston,Yes,Residential,19 Stuart Street,02116,65000,198.2,22,,Bank Branch Hotel,2012,881.6,13.6,12884932,0.35,0.65,,62.7,,0304925000,2014 2015 2016,22954506.36,353.1462517,25.4,0.928075,327.746252,Hotel,,,
Hotel Commonwealth,Yes,Residential,500 Commonwealth Avenue,02215,280000,76,63,,Hotel Parking,2003,1616.7,5.8,21289715,0.52,0.48,,40.1,,0503934022 0503934026,2016,45491863.01,162.4709393,25.4,0.843664,137.070939,Hotel,,,
HTA - St. Elizabeth's MOB 1 LLC,Yes,Office,11 Nevins Street,02135,50676,54.9,69,,Medical Office,1988,269,5.3,2780873,1,,,,,2101835200,2015 2016,8731940.592,172.3091916,,0,137.070939,Medical Office,,,
Huntington Plaza,Yes,Office,263-289 Huntington Avenue,02115,87751,138.9,47,,Office Restaurant Retail Store,1927,1004.2,11.4,12188751,0.67,0.33,,52.6,,Not Available,2016,29866095.6,340.3504871,101.6,0.701484,238.750487,Office,,,
HURLEY,Municipal,Education,70 Worcester St.,02118,42043,76.1,86,,K-12 School,1961,188.7,4.5,3199112,0.13,0.87,,,,Not Available,2016,4228266.463,100.5700464,101.6,0,-1.029954,K-12 School,,,
Hurley Building,Yes,Office,19 Staniford Street,02114,347022,190.45,0,,State Office Building Office,1969,4757,,66090998,0.39,0.61,,,,,2015 2016,123266320.4,355.211832,101.6,0.713973,253.611832,State Office Building,,,
Hyatt Regency Boston,Yes,Residential,One Avenue De Lafayette,02111,462684,86.2,54,,Hotel Other Restaurant,1983,3252.1,7,39892531,0.65,0.35,,34334,,0304500100,2014 2015 2016,96081160.91,207.6604354,101.6,0.51074,106.060435,Hotel,,,
Hyde Park Branch,Municipal,Public Assembly,35 Harvard Ave,02134,30000,34.8,Not Available,,Library,2000,100.9,3.4,1042721,1,,,,,Not Available,2016,3274143.312,109.1381104,196.8,0,-87.66189,Library,,,
Hyde Park Community Center,Municipal,Public Assembly,1175 River St,02136,40000,22.5,Not Available,,Other - Recreation,2000,87.3,2.2,901860,1,,,,,Not Available,2016,2831839.772,70.7959943,80,0,-9.204006,Other - Recreation,,,
HYDE PARK HS,Municipal,Education,655 Metropolitan Ave.,02136,186589,66.5,66,,K-12 School,1929,806.6,4.3,12407402,0.27,0.73,,,,Not Available,2016,20029268.89,107.3443177,101.6,0.053513,5.744318,K-12 School,,,
Hyde Park Storage LLC,Yes,Warehouse and Storage,1641 Hyde Park Ave,02136,40188,20.2,Not Available,,Self-Storage Facility,1997,38.2,1,812535,0.11,0.89,,0.6,212511,09450000,2016,1.73E+11,50.5,22.4,0.999995,4.30E+06,Self-Storage Facility,,,
IM000106 - 32 George St Boston MA,Yes,Unknown,32 George St,02119,242500,9.3,99,,Non-Refrigerated Warehouse,1930,169.9,0.7,2251756,0.51,0.49,,0.1,,Not Available,2016,4764491.367,19.64738708,,0,4.30E+06,Non-Refrigerated Warehouse,,,
Independence Wharf,Yes,Office,470 Atlantic Avenue,02210,324022,72.3,82,,Financial Office Office Parking,2001,2081.9,6.4,23416054,0.74,0,0.26,15.3,,0302956000,2014 2015 2016,61715351.66,190.4665475,101.6,0.466573,88.866547,Financial Office,,,
International Village,Yes,Education,1155-1175 Tremont Street,02115,495301,81.2,Not Available,,College/University,2009,3057.8,6.2,40198774,0.53,0.47,,31,,Not Available,2014 2015 2016,86736894.66,175.119563,48.8,0.721333,126.319563,College/University,,,
IRVING,Municipal,Education,105 Cummins HWY,02131,110370,58.1,91,,K-12 School,1936,387.9,3.5,6412474,0.17,0.83,,,,Not Available,2016,9011449.993,81.6476397,101.6,0,-19.95236,K-12 School,,,
Isabella Stewart Gardner Museum,Yes,Public Assembly,25 Evans Way,02115,70000,165.5,Not Available,,Museum,2011,1021,14.6,11584593,0.8,0.2,,47.8,,Not Available,2014 2015 2016,31533262.15,450.4751735,25.4,0.943615,425.075174,Museum,,,
Isabella Stewart Gardner Museum,Yes,Public Assembly,280 the Fenway,02115,63000,102.5,Not Available,,Museum,1903,406.4,6.5,6457129,0.23,0.77,,,,Not Available,2014 2015 2016,9883927.36,156.8877359,101.6,0.352403,55.287736,Museum,,,
